"LOCH CUAICH ",,,,,,,,,,,,
Grid ref,NN704886,Long,-4.133478,Lat,56.970392,,,,,,,
Station no,5692/3,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,1.85,3.50,5.85,3.35,2.59,4.30,7.05,7.32,3.00,5.50,,
February,1.98,2.64,1.50,2.40,2.60,3.70,6.10,3.73,1.27,7.48,,
March,1.76,2.63,1.20,2.83,0.80,4.20,3.75,3.44,3.84,1.26,,
April,4.00,2.36,2.90,1.65,0.70,1.83,1.06,1.60,3.99,4.68,,
May,1.48,2.20,3.50,3.25,3.05,2.38,1.35,3.34,1.95,0.75,,
June,1.80,2.25,2.50,1.70,0.95,3.63,1.85,2.13,2.21,2.23,,
July,2.80,1.59,4.15,2.38,0.50,4.28,4.35,5.20,3.48,2.53,,
August,5.80,2.97,3.10,2.30,0.95,5.25,5.22,3.55,2.29,6.87,,
September,2.15,2.73,2.60,4.60,2.55,5.90,2.34,4.22,0.71,3.41,,
October,0.75,5.20,3.35,6.30,3.65,4.00,2.86,3.34,5.34,2.45,,
November,6.68,2.50,4.25,10.00,2.15,4.35,2.13,0.82,5.71,4.52,,
December,4.45,3.76,5.35,6.10,7.70,8.60,4.85,4.09,6.85,4.89,,
Total,35.50,34.33,40.25,46.86,28.19,52.42,42.91,42.78,40.64,46.57,,
Calc annual,35.50,34.33,40.25,46.86,28.19,52.42,42.91,42.78,40.64,46.57,,
Difference,0.00,0.00,-0.00,-0.00,0.00,0.00,0.00,0.00,0.00,-0.00,,
