"RATHMULLAN FORT ROYAL",,,,,,,,,,,,
Grid ref,IC2987827546,Long,-7.532741,Lat,55.094505,,,,,,,
Station no,,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,,,,,4.41,,,,,,,
February,,,,,2.59,,,,,,,
March,,,,,1.82,,,,,,,
April,,,,,,,,,,,,
May,,,,,,,,,,,,
June,,,,,,,,,,,,
July,,,,,4.15,,,,,,,
August,,,,6.19,7.07,,,,,,,
September,,,,4.23,1.54,,,,,,,
October,,,,6.53,2.91,,,,,,,
November,,,,,,,,,,,,
December,,,,2.80,,,,,,,,
Total,,,,,,,,,,,,
Calc annual,0.00,0.00,0.00,19.75,24.49,0.00,0.00,0.00,0.00,0.00,,
Difference,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,
