BRADFORD QUEENSBURY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,SE104302,Long,-1.843702,Lat,53.768044,Elevation,1050,ft,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Station no,RR189,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1860,1861,1862,1863,1864,1865,1866,1867,1868,1869,1870,1871,1872,1873,1874,1875,1876,1877,1878,1879,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
January,,,,,,2.98,4.48,4.07,3.33,3.17,3.27,0.74,4.79,5.06,3.13,4.98,1.15,4.61,5.6,0.9,0.22,0.5,4.2,4.89,5.76,2.16,5.88,1.74,1.65,1.55,5.16,2.42,3.36,1.18,4.54,4.67,1.21,2.74,2.94,5.41,4.9,2.56,2.43,3.05,3.25,1.43,4.96,1.09,2.43,1.81,4.18,1.53,5.1,4.35,3.06,4.73,1.74,2.6,3.05,5.21,4.12,6.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
February,,,,,,1.86,5.55,4.09,4.82,5.99,1.56,3.76,2.86,1.92,1.32,1.49,3.03,4.55,2.33,2.27,2.81,5.73,2.12,2.15,3.53,3.24,0.75,0.65,0.74,1.75,0.7,0.1,2.91,4.06,6.71,1.15,1.6,3.55,2.92,1.88,5.82,1.83,1.72,3.43,4.82,1.04,2.53,2.1,2.41,1.36,3.46,3.8,2.44,1.47,2.66,3.89,5.97,0.87,4.7,2.06,3.11,0.21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
March,,,,,,1.35,1.97,2.52,5.05,1.27,2.39,1.65,4.94,3.94,3.41,1.02,4.52,3.95,2.97,1.33,2.28,5.13,4.8,0.56,2.07,2.02,4.29,1.73,4.73,3.07,3.33,2.34,2.36,1.19,3.28,2.95,4.31,4.75,1.26,2.23,1.19,3.18,1.8,4.78,2.68,2.45,2.63,2.37,3.63,3.66,0.63,1.71,4.49,4.29,4.55,1.04,4.96,3.16,1.87,6.14,2.45,2.37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
April,,,,,,1.27,1.58,4.56,1.72,2.52,0.98,4.99,4.41,0,2.14,1.33,3.7,4.62,3.22,1.63,5.34,1.24,5.87,3.17,2.41,2.29,3.06,1.27,3.5,3.62,1.46,2.22,1.88,0.94,3.29,2.84,1.44,2.48,3.37,2.67,1.85,2.1,2.25,1.98,2.13,2.84,1.38,2.43,2.92,3.44,2.67,1.51,0.83,3.56,1.24,1.07,2.24,2.11,1.05,1.55,4.57,1.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
May,,,,,,2.56,1.19,3.45,1.75,5.51,2.06,2.08,2.03,2.62,1.74,1.96,1.63,4.52,6.38,1.16,3.09,2.89,1.45,1.14,1.75,2.98,5.16,1.71,1.01,2.96,3.23,3.3,3.82,2.18,1.91,0.54,0.56,1.32,3.18,3.34,1.53,1.52,3.04,3.39,3.08,0.79,3.17,3.84,2.22,2.34,2.28,0.97,3.65,3.53,1.48,1.81,2.88,2.79,3.7,2.06,4.63,1.84,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
June,,,,,,1.05,4.33,2.3,0.26,0.9,2.43,3.35,6.17,1.44,1.36,4.05,2.87,2.79,4.42,5.87,3.6,2.36,5.13,3.63,1.7,3.51,1.61,0.22,3.01,0.95,3.43,1.8,4.38,2.14,3.36,3.66,4.2,4.36,2.64,1.7,3.15,0.93,2.36,1.41,1.29,1.36,1.74,4.96,1.74,2.84,2.64,3.67,6.28,2.01,2.92,0.59,2.96,2.19,1.85,1.26,2.91,0.15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
July,,,,,,1.73,5.78,4.64,0.77,0.47,0.41,3.73,4.5,4.32,2.25,7.24,1.7,4.95,1.42,5.4,7.87,3.53,4.96,4.16,5.13,1.25,5.75,1.94,6.03,4.45,2.47,2.98,2.75,3.43,4.05,6.69,2.34,1.16,1.63,1.66,3.38,2.31,3.31,4.42,2.56,1.78,2.48,2.36,4.06,4.44,2.97,0.29,5.42,1.39,3.38,5.06,3.6,1.51,6.54,2.76,8.64,1.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
August,,,,,,6.24,4.95,2.35,3.89,1.78,2.22,1.51,2.89,4.31,4.59,4.03,2.96,7.21,9.27,5.99,2.65,5.91,2.06,1.98,1.39,1.14,1.45,2.03,3.41,4.77,6.31,7.07,3.94,2.08,3.99,3.66,1.54,3.97,4.59,2.19,7.13,2.58,4.01,4.16,4.67,5.61,3.1,2.88,3.26,3.07,4.86,2.25,6.85,1.32,3.23,4.93,2.06,7.27,2.04,2.94,2.09,5.44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
September,,,,,,0.23,7.06,3.41,4.4,5.56,1.42,5.58,6.19,2.29,2.99,4.86,5.43,3.55,5.32,2.29,4.77,3.49,1.87,8.33,2.32,4.59,2.32,4.82,1.04,1.75,2.13,2.69,3.04,3.05,0.77,1.72,6.74,3.99,0.7,5.48,1.17,1.35,2.48,4.43,0.95,2.26,0.83,0.93,2.85,3.24,0.12,2.96,1.96,2.18,2.02,0.6,2.01,1.44,10.06,1.65,1.45,1.47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
October,,,,,,6.75,2.94,3.1,4.14,2.47,10.4,3.59,7,3.75,5.18,5.55,3.56,5.97,4.21,3.45,4.87,6.99,5.51,4.88,2.3,7.28,5.86,2.78,1.2,5.42,1.95,4.69,7.43,3.55,5.66,3.83,4.47,2.05,5.11,3.23,4.95,2.23,4.19,10.94,1.12,2.83,6.16,6.17,2.4,3.73,3.74,3.84,4.3,2.56,2.84,1.93,6.48,5.35,2.38,2.62,3.12,2.66,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
