FOREST-HILL-THE-NURSERIES,,,,,,,,,,,,,,,,,,,,
Grid ref,TQ369727,Long,-0.031825724,Lat,51.436764,Elevation,76,ft,,,,,,,,,,,,
Station no,RR8327,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899
January,,,,,,,,,,,2.41,1.97,0.55,1.81,2.89,1.87,0.75,1.41,,
February,,,,,,,,,,,0.96,0.1,1.57,3.41,1.8,0.31,0.32,,,
March,,,,,,,,,,1.59,2.26,2.13,1.32,0.37,1,1.28,3.08,,,
April,,,,,,,,,,2.22,1.87,0.64,1.5,0.04,1.24,1.5,0.71,1.12,,
May,,,,,,,,,,3.17,1.4,3.07,1.51,0.4,1.33,0.64,0.15,1.53,,
June,,,,,,,,,,2.25,2.68,1.11,2.59,0.92,2.21,0.61,2.04,2.5,,
July,,,,,,,,,,2.8,4.59,4.2,2.59,3.01,3.45,3.75,1.31,,,
August,,,,,,,,,,2.34,1.7,3.65,3.48,0.99,2.6,2.33,2.5,,,
September,,,,,,,,,,1.28,0.55,1.21,2.34,1.11,1.35,0.82,5.14,3.09,,
October,,,,,,,,,,3.73,1.19,5.58,4.32,4.43,4.87,2.75,3.06,,,
November,,,,,,,,,,0.92,1.67,2.09,2.49,2.23,3.7,3.58,1.36,,,
December,,,,,,,,,,0.73,0.28,2.8,1.33,2.29,2.12,2.29,3.13,,,
Total,,,,,,,,,,,21.56,28.55,25.59,21.01,28.56,21.73,23.55,,,
