BUDLEIGH-SALTERTON-KNOWLE-HOUSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,SY047828,Long,-3.348998,Lat,50.637075,Elevation,230,ft,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Station no,1801,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950
January,,,,,,,,,0.91,1.39,2.74,1.13,3.36,,,2.63,,,,,,,,,3.69,,,3.77,4.9,1.94,5.39,2.33,3.17,2.46,2.45,0.58,5.87,5.5,3.41,5.94,2.02,4.87,3.9,8.08,1.98,2.8,,,,,
February,,,,,,,,,1.69,0.45,3.46,0.85,3.5,,,5.55,,,,,,,,,1.76,,,3.2,2.64,1.88,1.38,2.38,0,3.93,0.16,3.29,3.13,5.89,0.87,1.59,4.19,3.64,0.34,1.5,0.54,1.86,,,,,
March,,,,,,,,,2.22,4.31,0.55,2.33,4.56,,,0.82,,,,,,,,,1.25,,,3.98,3.4,0.36,2.51,1.77,2.57,3.46,2.68,1.16,4.15,4.95,0.16,1.57,2.76,2.62,3.36,1.37,0.13,0.83,,,,,
April,,,,,,,,,2.69,1.71,2,1.31,0.1,,,0.69,,,,,,,,,2.31,,,1.92,1.28,1.13,3.29,3.18,2.29,1.91,2.97,3.36,2.28,2.64,0.2,2.57,3.26,1.57,1.92,0.97,1.9,0.64,,,,,
May,,,,,,,,,1.7,1.03,2.42,0.95,2.12,,,2.32,,,,,,,,,4.06,,,0.5,1.55,2.86,1.71,3.22,4.2,1.71,1.01,2.08,0.64,2.82,2.33,0.51,1.74,2.27,5.69,2.59,0.41,3.87,,,,,
June,,,,,,,,,0.54,3.04,1.45,2.57,5.2,,,1.92,,,,,,,,,2.9,,,2.29,1.75,2.5,0.23,3.46,3.59,2.28,1.83,3.92,2.13,0.77,1.69,2.98,0.71,1.77,0.79,1.28,1.95,2.73,,,,,
July,,,,,,,,,1.94,2.73,2.53,0.53,2.11,,,3.49,,,,,,,,,3.14,,,4.22,1.29,1.55,1.88,4.21,2.15,2.79,0.48,0.38,5.28,2.86,3.7,5.26,2.36,0.84,1.79,2.28,2.76,2.03,,,,,
August,,,,,,,,,2.8,1.82,4.72,0.26,6.09,,,2.08,,,,,,,,,3.17,,,2.94,2.19,1.9,3.42,3.58,2.45,1.43,2.76,2.39,0.18,1.6,4.51,4.63,0.04,3.93,3.98,2.46,4.31,2.19,,,,,
September,,,,,,,,,2.73,1.2,0.16,1.33,0.8,,,0.97,,,,,,,,,4.76,,,5.84,1.77,0.39,5.22,1.78,4.03,2.74,2.74,2.94,3.21,2.67,1.21,1.58,1.46,0.93,2.49,3.09,1.73,2.83,,,,,
October,,,,,,,,,1.9,5.11,3.62,2.92,4.26,,,3.97,,,,,,,,,5.37,,,2.14,5.47,5.06,3.19,0.32,6.26,2.68,2.4,4.09,1.01,3.52,2.94,4.72,3.99,1.63,3.82,3.85,3.94,3.65,,,,,
November,,,,,,,,,0.8,0.43,4.32,3.21,1.47,,,2.87,,,,,,,,,2.73,,,3.14,4.03,9.86,5.19,6.44,2.43,1.3,1.82,5.3,2.5,2,5.9,4.88,6.37,2.39,0.78,2.22,5.47,1.16,,,,,
December,,,,,,,,,2.98,4.1,5.56,8.66,4.6,,,7.31,,,,,,,,,3.53,,,3.48,2.58,7.5,4.09,1.79,2.34,2.78,10.05,4.88,3.63,3,4.21,1.75,3.01,2.6,4.1,3.68,2.74,4.95,,,,,
Total,,,,,,,,,22.9,27.32,33.53,26.05,38.17,,,34.62,,,,,,,,,38.67,,,37.42,32.85,36.93,37.5,34.46,35.48,29.47,31.35,34.37,34.01,38.22,31.13,37.98,31.91,29.06,32.96,33.37,27.86,29.54,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Gauge possibly does a few moves, but all locations seem to be near house – and elevation puts it to west side",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1924 Record not printed – too low – exposure good, but gauge very old",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1947 Station terminated due to staff shortages,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
