DAWLISH-HOLCOMBE-(PEAK-HOUSE),,,,,,,,,,
Grid ref,SX958746,Long,-3.47232,Lat,50.56228,Elevation,180,ft,,
Station no,1732/2,,,,,,,,,
,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909
January,,,,,,,4.8,1.08,,
February,,,,,,,3.19,0.91,,
March,,,,,,,0.75,0.48,,
April,,,,,,,1.16,4.36,,
May,,,,,,,1.51,2.69,,
June,,,,,,,2.32,1.54,,
July,,,,,,,0.8,2.01,,
August,,,,,,,1.21,0.54,,
September,,,,,,,0.68,0.43,,
October,,,,,,1.89,4.31,5.97,,
November,,,,,,4.33,2.71,2.97,,
December,,,,,,0.66,1.39,3.87,,
Total,,,,,,,24.83,26.85,,
,,,,,,,,,,
,,,,,,,,,,
1906 Position of gauge not satisfactory but no other available,,,,,,,,,,
Records are a little low,,,,,,,,,,
