ASSYNT FILTERS,,,,,,,,,,
Grid ref,NH586670,Long,-4.372335,Lat,57.670589,Elevation,500,ft,,
Station no,5775/33,,,,,,,,,
,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960
January,,,,,,,,,,4.32
February,,,,,,,,,,2.2
March,,,,,,,,,,0.63
April,,,,,,,,,,2.32
May,,,,,,,,,,0.67
June,,,,,,,,,,3.37
July,,,,,,,,,,1.93
August,,,,,,,,,,6.1
September,,,,,,,,,,1.97
October,,,,,,,,,,2.62
November,,,,,,,,,,1.83
December,,,,,,,,,,3.32
Total,,,,,,,,,,31.28
,,,,,,,,,,
1960 Np Low,,,,,,,,,,
,,,,,,,,,,
Station no,5775/33,,,,,,,,,
Midas,14512,,,,,,,,,
Hyd stn,787680,,,,,,,,,
