WOLLASTON,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,SP906627,Long,-0.674147,Lat,52.255022,Elevation,250,ft,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Station no,1113,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
January,,,,,,1.11,3.04,1.93,3.23,1.09,2.39,1.09,1.12,1.23,1.35,0.7,3.83,3.39,2.5,4.57,2.21,3.22,2.83,3.86,1.38,1.37,1.21,2.05,3.54,0.98,0.63,2.53,1.54,1.03,0.88,1.87,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
February,,,,,,2.23,3.37,2.61,1.59,0.76,0.68,1.85,0.18,1.49,0.42,1.89,1.83,2.86,0.66,0.81,2.16,1.74,0.51,0.76,1.16,1.35,1.93,1.85,0.77,0.9,3.39,3.31,0.58,1.37,2.17,1.43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
March,,,,,,0.76,0.55,1.79,1.43,0.04,1.24,0.05,1.65,2.37,1.5,0.51,1.26,2.82,0.13,1.53,1.96,3.01,1.68,0.78,0.14,0.66,1.27,4.96,0.85,1.42,0.95,3.2,2.58,0.64,2.48,2.11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
April,,,,,,1.64,2.02,1.46,1.32,1.35,1.97,2.88,2.99,0.56,1.38,3.4,1.76,2.53,0.08,1.97,2.26,1.27,1.02,0.76,1.9,0.77,1.43,1.98,1.62,1.38,1.82,2.63,1.88,1.91,0.23,0.62,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
May,,,,,,3.22,3.71,0.79,1.06,1.09,2.47,2.62,4.41,1.24,0.61,1,1.01,3.95,1.67,1.18,1.53,2.88,2.86,1.66,1.3,1.75,2.48,1.24,3.65,2.61,3.28,2.9,3.63,1.92,2.62,3.46,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
June,,,,,,0.03,2.42,3.31,2.07,1.04,0.51,1.55,0.43,1.7,1.09,2.78,4.64,1.69,1.34,2.06,0.82,1.63,0.34,1.92,2.55,1.73,2.33,1.44,2.78,0.57,1.88,0.81,1.16,1.25,2.56,2.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
July,,,,,,1.97,1.31,2.17,2.68,1.68,2.63,2.25,2.23,2.03,1.82,0.8,6.98,1.23,1.58,2.38,3.06,2.18,2.44,0.53,1.69,1.75,1.47,2.05,1.1,1.5,3.48,1.27,0.43,3.17,2.74,0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
August,,,,,,1.78,1.25,3.29,1.55,1.02,1.73,3.29,2.69,0.82,1.77,1.9,0.32,1.43,5.22,3.78,0.19,4.61,2.24,2.05,2.58,1.94,3.76,0.03,3.13,0.61,1.62,3.21,3.27,2.05,4.02,0.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
September,,,,,,2.54,2.01,4.13,0.81,0.25,3.49,2.99,2.34,1.6,1.47,3.81,2.35,1.09,1.48,0.74,0.47,0.67,0.98,1.21,2.55,2.74,3.44,1.27,2.3,1.43,3.35,2.21,2.5,1.74,2.11,1.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
October,,,,,,3.2,2.12,1.58,3.28,2.53,1.24,0.45,3.06,1.5,1.38,2.96,1.54,2.85,2.5,4.66,2.34,2.27,2.06,1.96,3.19,3.51,1.39,0.29,3.64,4.48,0.74,0.71,2.91,1.71,2.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
November,,,,,,1.43,3.08,2.44,2.45,4.82,2.94,2.64,1.46,1.79,1.98,3.58,2.13,1.62,2.16,3.21,5.81,2.91,2.24,1.13,2.95,0.5,4.42,1.69,1.56,2.23,3.87,4.65,2.88,1.33,4.66,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
December,,,,,,1.93,0.41,2.78,2.24,3.96,2.16,0.76,0.42,0.37,4.35,2.52,1.22,2,2.76,2.03,1.5,1.03,1.87,0.83,1.28,2.73,2.21,2.33,2.97,1.39,1.13,1.83,2.26,0.54,2.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total,,,,,,21.84,25.29,28.28,23.71,19.63,23.45,22.42,22.98,16.7,19.12,25.85,28.87,27.46,22.08,28.92,24.31,27.42,21.07,17.45,22.67,20.8,27.34,21.18,27.91,19.5,26.14,29.26,25.62,18.66,28.87,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TYRain_1920-1930_07_pt1-page-275.csv not used as exact copy of p271,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
