PLOVER HILL,,,,,,,,,,
Grid ref,NY831401,Long,-2.264113,Lat,54.755557,Elevation,1790,ft,,
Station no,3536/8,,,,,,,,,
,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960
January,,,,,,,,,,9.5
February,,,,,,,,,,8.25
March,,,,,,,,,,4
April,,,,,,,,,,4.75
May,,,,,,,,,,2.5
June,,,,,,,,,,2.25
July,,,,,,,,,4.28,5.75
August,,,,,,,,,1,3.5
September,,,,,,,,,,2.6
October,,,,,,,,,5.25,9.25
November,,,,,,,,,8,9
December,,,,,,,,,10.5,6.1
Total,,,,,,,,,,67.45
,,,,,,,,,,
1885,PLOVER HILL ,NY8319640193,01/01/1960,31/12/1991,,,,,,
