LLYN-ARENIG-FACH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,SH826422,Long,-3.7493847,Lat,52.964272,Elevation,1511,ft.,,,,,,,,,,,,,,,,,,,,,,
Station no,4327/5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960
January,,,,,3.1,10.5,12.1,19.1,16.1,3.1,3.4,,12.4,18,,17,,,5.4,,9.7,,,7.6,,,,,10,12.5
February,,,,,19.1,5.1,14.6,6.5,16,5.8,6.7,4.3,8.5,4.3,,16.9,,9.3,5.3,18.6,7.3,,,6.5,,,,,1.3,8.3
March,,,,,2.9,6.9,4.2,7,5.1,10.1,5.5,6.7,5.6,,7.7,3.4,,,,4.5,10.1,,7.1,,,,,,3.8,3.7
April,,,,,5.5,2.4,3.7,0.6,5.9,4.9,2.5,,3.2,,,2.2,,4.9,,7.8,5.6,,5.81,,,,1.4,0.82,7.5,5.3
May,,,,,2.1,2.3,2.1,4.2,1,3.3,3.8,,6.9,5.8,,3.5,,2.2,7.8,1.7,2.8,,3.7,,,,3.6,7.15,,2
June,,,,,9.5,7.9,4.6,9.7,7.1,1.1,1.1,0.8,9.1,7.5,6.6,5.1,,10.2,1.1,8.8,2.7,,,5.7,,,,,,3.4
July,,,,1.7,2.2,9.2,3.5,7.8,14.2,6.3,2.9,11.3,7.8,5.2,2,5.7,5.4,,,7.7,2.5,,8.7,9.7,,,,3.1,6.3,6
August,,,,8.6,3.8,3.4,1.9,7.4,4.2,3.9,9.8,10.7,9.6,6,2,9.7,0.6,9.7,,16.7,9.7,3.5,8.3,7.7,,,,,1.2,7.4
September,,,,7,13.7,8.4,3.3,3.6,1.7,6.5,2.2,6.7,7.9,10.1,5.5,14.3,6.4,7.6,,15,10.5,6.7,8.3,7.6,,,,10.8,1.1,6.9
October,,,,13.1,16.7,12.1,3.3,21.3,5.9,12.7,15.4,14.8,7.7,,10.1,2.8,1.7,7.6,,8.1,,9.5,4.6,16.7,,,,8.93,9.25,5
November,,,,1.9,8.4,9.6,3.8,14.7,24.2,18.7,6.6,1.8,6.6,,4.3,11.6,15.6,6.8,,9.7,14.8,,12.4,15.4,,,,3.95,9.7,
December,,,,15.8,4.9,12.1,8.2,9.8,7.4,10.6,8.4,11.6,4.1,,10.1,7.7,10.1,11.2,,6,16.9,,3.5,11,,,,,15.4,11.9
Total,,,,,91.9,89.9,65.3,111.7,108.8,87,68.3,,89.4,,,99.9,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NOTES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NGR is from 1950s record and is at the north end of Llyn Arenig Fach. Altitudes match,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
