HARDINGTON-MANDEVILLE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,ST511116,Long,-2.6964,Lat,50.90179,Elevation,300,ft,,,,,,,,,,,,,,,,,,,,,,
Station no,2055/8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960
January,,,,,,6.12,7.05,3.36,6.05,2.45,4.24,4.01,7.99,2.28,4.11,4.41,4.22,6.94,1.13,0.63,3.86,2.68,,,,,,,,
February,,,,,,3.55,6.26,1.25,2.33,4.3,4.19,0.3,1.89,0.52,2.28,2.69,0.83,1.24,1.82,7.75,6.42,0.78,,,,,,,,
March,,,,,,4.21,4.73,0.21,1.54,2.51,3.21,2.65,1.08,0.38,1.31,1.01,9.22,1.79,1.57,1.85,3.52,3.07,,,,,,,,
April,,,,,,2.31,1.98,0.13,2.3,2.03,2.68,2.7,1.01,1.55,0.97,2.98,3.23,2.09,2.13,2.2,2.54,2.42,,,,,,,,
May,,,,,,1.23,3.25,2.79,0.75,2.17,2,5.24,3,1.42,4.2,4.22,3.3,5.75,2.68,2.16,2.92,3.77,,,,,,,,
June,,,,,4.96,3.39,1.15,1.91,3.17,0.53,2.13,0.48,1.28,2.61,3.12,3.18,1.99,1.65,0.49,1.27,0.73,2.23,,,,,,,,
July,,,,,0.44,6.53,3,3.58,6.31,2.52,1.83,2.03,3.51,2.85,1.77,1.27,2.36,1.67,2.02,5.84,3.16,,,,,,,,,
August,,,,,3.23,0.11,1.19,3.07,2.61,0.07,3.51,4.49,3.11,3.01,2.8,5.55,1.3,4.44,1.97,5.09,5.47,,,,,,,,,
September,,,,,3.77,3.23,3.17,1.67,1.36,1.7,1.04,2.09,3.25,1.92,3.19,6.23,1.7,2.84,3.45,5.04,4.35,,,,,,,,,
October,,,,,4.45,1.83,5.43,3.76,4.83,5.24,1.44,4.3,5.03,6.48,4.44,1.38,1.32,4.29,9.05,1.91,1.08,,,,,,,,,
November,,,,,8.59,3.62,1.8,6.05,6.51,8.95,2.58,1.65,2.2,6.24,2.5,9.12,1.97,1.76,5.1,6.95,10.18,,,,,,,,,
December,,,,,6.97,5.45,4.68,5.34,2.45,3.54,1.99,6.18,3.15,3.85,5.23,5.5,3.53,8.67,1.33,3.01,3.7,,,,,,,,,
Total,,,,,,41.58,43.69,33.12,40.21,36.01,30.84,36.12,36.5,33.11,35.92,47.54,34.97,43.13,32.74,43.7,47.93,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Carys High St Hardington Mandeville,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
