"MOULSFORD (THE OLD VICARAGE)",,,,,,,,,,,,
Grid ref,SU590837,Long,-1.150509,Lat,51.549115,,,,,,,
Station no,810/7,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,3.44,1.31,0.57,0.81,,,,,,,,
February,5.65,0.65,1.66,2.52,,,,,,,,
March,3.96,1.81,0.36,2.54,,,,,,,,
April,2.79,1.19,2.14,0.26,,,,,,,,
May,3.00,3.63,1.65,2.86,,,,,,,,
June,1.27,1.38,1.43,4.54,,,,,,,,
July,0.99,0.39,2.38,1.97,,,,,,,,
August,2.57,4.83,1.95,3.71,,,,,,,,
September,2.94,2.12,1.57,1.83,,,,,,,,
October,1.03,3.97,3.14,1.90,,,,,,,,
November,6.94,3.01,1.93,5.73,,,,,,,,
December,2.25,2.03,0.49,2.56,,,,,,,,
Total,36.83,26.32,19.27,31.23,,,,,,,,
Calc annual,36.83,26.32,19.27,31.23,0.00,0.00,0.00,0.00,0.00,0.00,,
Difference,0.00,0.00,0.00,0.00,NaN,NaN,NaN,NaN,NaN,NaN,,
