WOODBURY-SOUTH-CROFT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,SY01358675,Long,-3.39739,Lat,50.67204,Elevation,200,ft,,,,,,,,,,,,,,,,,,,,,,,
Station no,1765,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950
January,,,,,,,,,5.89,2.27,6.13,2.58,3.1,,,0.44,5.49,6.24,3.21,6.22,2,6,4.18,,,,,,,,
February,,,,,,,,,2.76,2.42,0.62,1.71,0.05,,,2.59,3.46,5.8,0.89,1.37,4.52,4,0.19,,,,,,,,
March,,,,,,,,,4.32,0.13,2.27,1.89,1.18,,,0.8,4.08,5.86,0.15,1.39,2.63,2.73,2.87,,,,,,,,
April,,,,,,,,,1.44,0.79,4.04,3.46,2.02,,,4.05,2.32,3.15,0.16,2.39,3.01,1.62,1.55,,,,,,,,
May,,,,,,,,,1.63,2.28,1.51,2.86,4.64,,,2.19,0.78,3.02,2.21,0.47,2.06,2.07,6.34,,,,,,,,
June,,,,,,,,,1.78,2.64,0.31,3.07,2.61,,,2.92,1.91,0.85,1.81,3.52,0.83,1.83,0.63,,,,,,,,
July,,,,,,,,,0.89,1.15,1.79,4.38,2.95,,,0.45,5.36,2.17,3.56,4.58,2.39,0.8,1.46,,,,,,,,
August,,,,,,,,,1.9,1.89,3.51,3.81,1.91,,,2.58,0.15,1.73,4.36,3.84,0.03,3.88,3.67,,,,,,,,
September,,,,,,,,,1.75,0.36,4.25,1.8,4.35,,,2.98,2.79,2.79,1.16,1.03,1.58,0.83,2.6,,,,,,,,
October,,,,,,,,,4.86,5.03,3.16,0.36,6.01,,,3.88,0.89,4.22,2.74,5.43,4.4,1.34,3.03,,,,,,,,
November,,,,,,,,,3.84,11.09,5.78,6.79,2.21,,,5.78,2.68,2.42,5.14,5.61,5.62,2.43,0.84,,,,,,,,
December,,,,,,,,,3,8.95,4.81,1.68,3.81,,,4.72,3.29,3.47,4.37,1.51,3.17,2.69,3.44,,,,,,,,
Total,,,,,,,,,34.06,39,38.18,34.39,34.84,,,33.38,33.2,41.72,29.76,37.36,32.24,30.22,30.8,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1928 Little Orchard SY0133586679,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1935 Oct 5 Gauge moved 100yds N to South Croft SY0140086806,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NGR is between 2 houses Elevation stayed the same,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
