DEVIZES-HIGHCLERE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,SU0059660793,Long,-1.9928292,Lat,51.346219,Elevation,440,ft,,,,,,,,,,,,,,,,,,,,,,,
Station no,1488,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940
January,,,,,,,,1.37,3.14,4.23,3.82,3.14,3.27,1.66,4.13,2.68,3.36,3.87,4.42,1.53,4.28,1.78,2.61,2.53,,,,,,,
February,,,,,,,,1.13,1,2.14,0.97,0.45,3.05,5.25,0.19,4.21,2.08,4.37,2.22,0.95,0.79,2.25,0.07,3.75,,,,,,,
March,,,,,,,,3,0.92,4.78,2.27,1.48,2.39,2.13,1.13,0.45,0.65,3.65,2.1,0.16,1.97,0.45,2.42,2.73,,,,,,,
April,,,,,,,,1.95,3.07,2.55,5.22,0.68,3.46,2.36,3.27,1.97,3.32,1.6,1.15,0.58,2.79,2.82,3.41,1.54,,,,,,,
May,,,,,,,,2.71,1.71,0.76,2.41,1.98,0.79,1.31,5.24,3.6,3.16,0.92,1.14,1.75,1.73,2.73,5.74,2.2,,,,,,,
June,,,,,,,,2.96,1.4,1.09,2.66,0.26,1.56,0.49,2.32,0.1,3.23,3.02,2.48,1.4,1.99,2.62,1.19,1.43,,,,,,,
July,,,,,,,,3.68,5.5,2.29,5.64,0.42,3.51,0.89,3.85,3.69,2.25,5.19,2.43,1.81,2.11,4.55,5.93,3.02,,,,,,,
August,,,,,,,,5.4,2.11,2.88,1.23,1.06,3.87,3.32,2.86,2.03,1.3,4.62,2.43,1.63,3.3,4.2,1.21,0.97,,,,,,,
September,,,,,,,,1.5,5.72,1.7,1.34,1.83,1.85,4.23,3.56,3.55,1.05,5.84,1.6,0.28,3.76,2.65,3.64,2.85,,,,,,,
October,,,,,,,,5.25,1.63,1.49,2.32,1.11,1.28,5.46,5.21,3.21,3.42,1.9,4.44,4.3,2.19,1.08,5.1,2.42,,,,,,,
November,,,,,,,,0.7,2.63,2.02,1.45,2.01,1.51,1.93,2.84,2.24,6.14,2.62,2.98,6.38,4.32,4.21,1.58,0.73,,,,,,,
December,,,,,,,,0.99,3.02,5.1,2.41,1.78,3.85,3.67,4.73,3.29,0.69,3.09,2.82,7.33,3.28,0.96,1.07,0.63,,,,,,,
Total,,,,,,,,30.64,31.85,31.03,31.74,16.2,30.39,32.7,39.33,31.02,30.65,40.69,30.21,28.1,32.51,30.3,33.97,24.8,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1917 Aug IDR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Elevation estimated from OS Map,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
