PINVIN (THE NURSERIES),,,,,,,,,,,,,,,,,,,,,
Grid ref,SO956488,Long,-2.0657036,Lat,52.137479,Elevation,117,ft,,,,,,,,,,,,,
Station no,2431,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940
January,,,,1.4,2.98,1.73,3.48,3.83,4.06,,4.13,1.21,2.03,1.7,,,,,,,
February,,,,4.3,0.41,2.55,2.71,2.68,2.01,,0.55,1.91,0.13,1.57,,,,,,,
March,,,,1.95,1.01,0.33,0.73,2.24,3.19,,1.75,0.11,1.29,2.19,,,,,,,
April,,,,1.93,2.57,1.58,2.67,1.63,1.03,,2.48,3.07,2.21,0.81,,,,,,,
May,,,,2.01,8.35,2.9,3.91,1.42,1.33,,2.06,4.12,8.25,2.36,,,,,,,
June,,,,0.32,2.52,0.09,1.64,2.76,3.57,,1.82,3.61,0.67,2.09,,,,,,,
July,,,,3.16,4.94,3.16,2.49,3.53,1.27,,3.19,3.34,2.55,1.69,,,,,,,
August,,,,1.91,3.9,2.21,2.27,3.76,2.14,,3.23,5.05,3.4,0.73,,,,,,,
September,,,,2.52,3.69,3.5,0.64,4.54,0.77,,3.37,2.49,3.06,1.54,,,,,,,
October,,,,4.43,3.75,3.08,2.48,1.85,4.53,,2.29,0.79,4.36,2.8,,,,,,,
November,,,,1.53,2.25,1.24,5.47,3.21,2.89,7.19,3.12,2.97,1.43,0.57,,,,,,,
December,,,,2.67,2.42,2.31,0.39,2.51,1.94,5.43,3.21,1.07,1.01,0.34,,,,,,,
Total,,,,28.13,38.79,24.68,28.88,33.96,28.73,,31.2,29.74,30.39,18.39,,,,,,,
