LLANTRISANT-SOUTH-RHONDDA-COLLIERY (ROOF GAUGE),,,,,,,,,,
Grid ref,SS991848,Long,-3.4567001,Lat,51.553034,Elevation,500,ft,,
Station no,RR7465,,,,,,,,,
,,,,,,,,,,
,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919
January,,3.67,8.2,15.48,3.82,5.13,3.96,2.46,,
February,,8.84,3.58,1.68,5.11,9.79,6.95,1.28,,
March,,2.99,11.34,8.77,9.48,3.73,3.08,2.31,,
April,,4.33,0.67,5.72,3.4,2.8,3.43,2.07,,
May,,2.41,1.67,7.92,2.95,8.28,3.23,2.62,,
June,,2.06,8.71,3.09,2.37,3.43,4.03,2.8,,
July,,0.22,5.28,0.82,6.59,3.68,2.91,3.11,,
August,,2.75,15.37,1.54,6.37,4.27,3.9,10.98,,
September,,3.24,2.38,4.02,5.61,2.37,4,3.23,,
October,,3.91,9.07,8.79,2.82,3.51,11.52,7.73,,
November,,5.76,3.66,9.96,10.36,4.21,3.26,4.01,,
December,,8.98,9.32,4.79,10.61,14.07,7.1,1.35,,
Total,,49.16,79.25,72.58,69.49,65.27,57.37,43.95,,
