DUNDONNELL HOUSE,,,,,,,,,,,,
Grid ref,NH114857,Long,-5.177158,Lat,57.821001,,,,,,,
Station no,5782/4,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,7.21,9.77,6.29,6.69,,,,,,,,
February,5.53,6.94,4.96,3.19,,,,,,,,
March,3.78,3.80,3.91,4.25,,,,,,,,
April,7.65,3.28,5.73,3.34,,,,,,,,
May,2.23,2.93,4.82,5.30,,,,,,,,
June,2.63,5.50,2.64,5.01,,,,,,,,
July,3.36,5.32,8.29,7.64,,,,,,,,
August,5.76,6.19,4.72,2.93,,,,,,,,
September,3.45,8.37,6.37,8.55,,,,,,,,
October,3.78,8.48,3.31,11.90,,,,,,,,
November,8.20,8.07,13.48,6.43,,,,,,,,
December,12.95,8.47,6.92,14.01,,,,,,,,
Total,66.53,77.12,71.44,79.24,,,,,,,,
Calc annual,66.53,77.12,71.44,79.24,0.00,0.00,0.00,0.00,0.00,0.00,,
Difference,0.00,0.00,0.00,-0.00,NaN,NaN,NaN,NaN,NaN,NaN,,
