FRAMLINGHAM-SEWAGE-WORKS,,,,,,,,,,
Grid ref,TM284624,Long,1.341796,Lat,52.212447,Elevation,90,ft,,
Station no,1367/3,,,,,,,,,
,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960
January,,2.99,0.98,1.53,1.59,2.52,1.24,2.25,1.88,4.51
February,,0.68,1.63,2.21,2.17,1.32,2.39,2.54,0.2,1.12
March,,2.73,0.36,2.08,1.17,0.44,1.59,0.82,1.4,1.4
April,,0.56,2.07,0.6,0.08,0.64,0.03,0.92,1.38,0.81
May,,1.62,1.44,1.72,2.91,0.32,1.3,2.7,0.36,0.48
June,1.13,1.21,2.66,2.1,3.45,1.41,2.22,2.37,0.55,1.05
July,2.04,1.02,1.86,2.51,0.06,2.48,2.88,2.52,1.32,5.02
August,2.83,4.59,2.68,4.78,6.42,4.01,2,4.24,1.38,3.13
September,2.66,2.64,1.68,1.12,1.12,2.29,3.18,2.09,0.01,5.85
October,0.69,3.26,1.8,1.86,4.33,2.66,1.24,2.61,2.02,5.69
November,4.88,5.7,1.4,4.6,0.72,0.78,2.05,1.03,2.3,2.63
December,1.7,2.55,0.44,1.95,1.57,2.22,2.34,3.32,3.3,3.68
Total,,29.55,19,27.06,25.59,21.09,22.46,27.41,16.1,35.37
,,,,,,,,,,
,,,,,,,,,,
