WONERSH-SHAMLEY-GREEN (Willinghurst),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,TQ053425,Long,-0.49516,Lat,51.172056,Elevation,400,ft,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Station no,RR2233,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
January,,,,,,,,,,1.33,3.52,2.65,0.64,2.17,4.38,2.07,0.77,2.46,0.66,2.96,3.78,1.33,0.94,2.85,5.39,1.55,5.89,0.96,1.63,1.16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
February,,,,,,,,,,2.17,1.08,0.02,1.03,3.81,1.34,0.18,0.4,3.16,1.27,3.01,5.43,2.55,1.22,2.2,3.93,0.69,2.68,1.74,0.94,0.63,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
March,,,,,,,,,,2.16,1.94,2.69,1.32,0.35,1.63,1.95,3.56,4.72,1.48,0.63,0.92,2.14,1.98,3.24,1.59,4.18,1.55,0.96,3.39,4.63,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
April,,,,,,,,,,2.84,2.8,0.71,1.1,0.07,2.6,2.09,0.53,1.69,1.05,2.8,1.02,2.36,1.81,2.45,1.36,0.95,0.56,4.37,2.68,2.28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
May,,,,,,,,,,2.07,1.31,2.42,1.34,0.46,1.77,0.35,0.47,1.5,3.57,1.29,1,0.58,2.1,3.59,3.45,0.74,1.6,1.94,2.43,1.95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
June,,,,,,,,,,0.98,3,1.54,1.86,0.95,2.39,0.28,3.33,1.52,1.68,1.22,3.19,1.66,3.34,4.32,0.75,5.22,2.17,1.99,3.3,3.31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
July,,,,,,,,,,1.55,3.74,2.62,2.3,3.82,5.01,5.52,1.14,1.56,0.5,1.25,1.29,1.18,1.64,3.73,2.2,0.68,0.62,1.88,2.64,2.91,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
August,,,,,,,,,,2.5,2.68,6.3,3.78,0.89,2.2,2.32,1.9,3.32,0.96,0.65,3.36,1.79,3.13,5.77,2,2.89,0.72,2.37,4.58,2.67,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
September,,,,,,,,,,0.92,0.92,1.28,2.5,1.18,2,0.79,7.21,2.26,1.26,2.92,0.96,2.5,1.28,4,1.95,2.08,1.48,0.75,1.36,3.08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
October,,,,,,,,,,5.38,1.17,7.22,4.16,4.07,5.16,3.02,3.91,0.64,3.74,2.43,2.35,2.43,2.44,8.92,2.42,2.06,4.54,6.02,2.79,6.43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
November,,,,,,,,,,1.16,2.66,2.58,2.86,2.64,5.04,5.36,1.43,1.04,4.13,5.68,3.08,0.71,3.02,2.25,1.51,4.37,5.33,2.76,1.08,0.72,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
December,,,,,,,,,,1.99,0.74,4.14,1.61,3.31,2.25,2.91,4.43,4.02,3.35,1.59,3.89,4.4,1.66,2.61,3.09,0.75,2.17,3.24,3.58,4.48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total,,,,,,,,,,25.05,25.56,34.17,24.5,23.72,35.77,26.84,29.08,27.89,23.65,26.43,30.27,23.63,24.56,45.93,29.64,26.16,29.31,28.98,30.4,34.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
