CARMUNNOCK (WATERWORKS),,,,,,,,,,,,
Grid ref,NS608574,Long,-4.221594,Lat,55.789797,,,,,,,
Station no,5203/5,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,3.78,3.40,1.55,4.65,2.11,2.30,6.14,4.51,1.29,3.25,,
February,1.97,1.10,1.33,3.83,2.48,1.24,2.98,2.55,1.78,3.72,,
March,3.04,2.68,0.76,2.30,1.75,2.04,3.71,1.41,1.92,1.65,,
April,2.57,2.39,1.80,1.57,1.56,0.96,2.07,1.35,2.53,2.97,,
May,1.90,1.69,2.71,3.60,3.38,2.27,2.50,2.48,1.48,2.80,,
June,2.10,2.65,1.05,2.90,1.45,3.47,2.10,3.64,3.23,1.98,,
July,3.93,2.12,4.29,3.17,1.63,4.78,3.72,5.36,4.28,3.77,,
August,4.85,3.90,2.58,5.79,1.54,5.15,4.01,5.22,0.64,3.28,,
September,3.07,2.63,3.13,4.84,3.22,4.93,2.90,3.94,0.97,3.10,,
October,0.86,4.18,2.32,9.37,2.59,3.77,3.93,3.63,4.79,3.09,,
November,6.62,2.54,6.27,6.42,1.85,1.26,1.78,1.69,4.68,5.65,,
December,5.73,3.36,4.86,5.49,6.08,5.34,3.97,5.04,6.86,5.26,,
Total,40.42,32.64,32.65,53.93,29.64,37.51,39.81,40.82,34.45,40.52,,
Calc annual,40.42,32.64,32.65,53.93,29.64,37.51,39.81,40.82,34.45,40.52,,
Difference,0.00,0.00,0.00,-0.00,0.00,-0.00,0.00,0.00,0.00,0.00,,
