HEYSHAM HALL,,,,,,,,,,
Grid ref,SD412609,Long,-2.8993838,Lat,54.040706,Elevation,96,ft,,
Station no,RR6429,,,,,,,,,
,,,,,,,,,,
,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899
January,,,3.09,1.18,3.26,2.55,2.56,1.04,3.85,
February,,,1.64,4.48,5,0.48,2.03,2.73,2.71,
March,,,1.09,1.24,2.98,3.71,5.24,4.58,1.01,
April,,,1.79,0.54,1.43,2.23,1.68,2.49,2.68,
May,,,4.76,2.11,2.84,1.38,0.4,1.92,2.99,
June,,,2.97,1.49,3.56,2.19,3.25,3.96,2.6,
July,,,1.57,4.6,2.25,6.97,4.23,1.14,0.39,
August,,,6.18,4.87,5.42,4.2,3.23,4.75,5.79,
September,,,7.99,4.09,0.77,1.23,5.99,4.51,1.76,
October,,,3.92,6.37,4.17,5.72,4.36,2.46,4.62,
November,,,3.45,2.21,4.09,3.65,1.64,5.66,4.32,
December,,,2.83,3.69,3.63,4.2,5.27,5.6,3.91,
Total,,,41.28,36.87,39.4,38.51,39.88,40.84,36.63,
,,,,,,,,,,
"elevation on record varied 80', 96' 106' but no explanation; taken as 96' for NGR",,,,,,,,,,
