HEYSHAM HOUSE,,,,,,,,,,,,
Grid ref,SD413607,Long,-2.897818,Lat,54.038920,,,,,,,
Station no,RR6428,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,5.43,2.17,2.63,4.28,5.09,2.19,5.41,2.21,4.08,2.22,,
February,3.76,1.32,1.18,3.99,4.15,1.98,3.39,1.93,2.52,2.49,,
March,0.68,4.51,2.60,4.11,2.76,3.27,3.50,3.74,3.39,3.35,,
April,2.84,2.35,1.94,1.37,3.69,3.59,1.92,1.95,2.88,3.26,,
May,2.37,1.12,3.14,4.56,2.48,1.46,6.47,4.65,4.51,2.24,,
June,2.61,2.23,1.62,1.97,2.34,2.73,2.51,8.64,2.78,2.16,,
July,3.29,2.00,3.55,3.79,2.28,1.75,2.45,3.40,3.69,7.09,,
August,5.00,4.27,3.64,7.13,3.72,6.04,5.24,4.79,5.89,4.45,,
September,3.40,1.36,1.58,8.82,2.07,3.54,1.04,1.03,5.48,3.16,,
October,9.02,5.00,4.78,10.31,4.34,3.31,7.34,6.05,2.58,6.84,,
November,4.52,4.99,3.13,4.43,3.20,4.85,3.64,4.99,4.27,1.79,,
December,6.11,5.22,4.06,3.95,3.59,1.45,3.83,5.61,4.00,9.11,,
Total,49.03,36.54,33.85,58.71,39.71,36.16,46.74,48.99,46.07,48.16,,
Calc annual,49.03,36.54,33.85,58.71,39.71,36.16,46.74,48.99,46.07,48.16,,
Difference,0.00,0.00,0.00,0.00,-0.00,0.00,0.00,0.00,-0.00,-0.00,,
