WESTEND-MOOR-STONEFOLD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,SE086020,Long,-1.8717789,Lat,53.51461,Elevation,1691,ft.,,,,,,,,,,,,,,,,,,,,,,
Station no,2758/3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960
January,,,,,4.5,5.14,7.18,7.5,6.95,2.46,3.25,4.86,7.65,10.05,6.44,6.72,4.74,12.42,4.24,4.57,6.53,,3.15,6.11,4.2,7.47,5.4,4.81,5.31,8.31
February,,,,,9.32,3.82,8.26,3.6,7.13,4.34,8.8,3.1,4.73,3.75,7.48,10.02,3.23,4.13,3.19,7.38,4.91,2.08,,4.97,3.22,2.25,,8.15,,3.51
March,,,,,3.23,4.47,4.35,3.06,4.7,4.85,6.93,3.24,2.8,1.1,2.48,2.52,7.65,2.22,2.6,3.06,6.97,3.49,3.18,4.65,3.6,2.78,5.35,3.2,2.77,2.39
April,,,,,4.94,3.19,4.7,1,3.95,3.87,4.59,3,3.13,4.74,3.31,2.87,4.77,2.52,6.59,5.62,3.44,4.12,4.04,1.5,3.63,3.85,0.92,2.19,5,3.31
May,,,,,1.02,2.4,3.32,5.53,3.35,1.04,4.29,4.21,3.61,6.06,3.9,2.64,4.64,2.54,3.32,3.24,4.22,,3.43,5.16,6.15,2.22,2.03,4.76,2.61,3.28
June,,,,,4.55,5.46,3.12,6.55,4.24,1.27,1.9,1.61,5.51,3.94,7.52,6.26,3.36,7.16,1.49,3.44,1.72,,4.75,4.52,4.87,4.5,2.73,6.34,2.42,2.46
July,,,,,3.21,6,4.4,7.33,8.77,6.2,2.6,7.62,3.15,4.15,2.12,8.25,3.61,3.11,3.5,4.1,4.42,3.98,8.46,9.12,1.53,8.88,6.98,6.13,3.92,9.15
August,,,,,2.55,3.88,1.7,4.84,3.1,3.83,9.5,7.71,8.77,5,4.93,6.62,0.37,6.28,3.96,5.11,5.77,3.6,6.42,8.39,1.16,14.68,7.91,5.99,0.69,6.35
September,,,,,8.58,8.85,2.15,2.52,3.15,6.63,0.74,4.7,6.12,8.22,3.92,9.24,3.24,3.74,2.89,-999,3.24,6.75,3.77,6.93,3.61,6.38,9.39,5.71,0.41,5.3
October,,,,,11.15,8.45,3.9,12.7,4.36,5.77,8.46,11.34,3.08,6.12,7.62,2.44,2.08,4.47,4.58,-999,1.44,7,2.35,10.58,4.37,4.37,7.95,4.8,4.36,10.05
November,,,,,9.82,8.55,3.73,6.39,9.6,10.52,4.86,2.23,5.72,10.83,1.37,11.46,8.78,3.58,9.72,9.34,12.42,4.35,4.82,7.83,2.55,3.6,3.66,1.88,6.3,6.98
December,,,,,5.35,5.7,3.13,5.83,5.1,7.25,4.85,4.6,2.84,5.56,3.62,4.96,6.88,3.37,10.33,3.18,7.4,,3.07,9.9,8.51,6.44,6.7,5.63,8.13,5.06
Total,,,,,68.22,65.91,49.94,66.85,64.4,58.03,60.77,58.22,57.11,69.52,54.71,74,53.35,55.54,56.41,60.51,62.48,,,79.66,47.4,67.42,,59.59,,66.15
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MIDAS src_id 11894 WESTEND MOSS Start 1934 end 1981,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"NGR is from the 1950s record and is near Stonefold Grough (stream) on Westend Moss, not moor. Altitudes match",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jan 1956 estimated for snow but left in this record,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
