POTTERS-BAR-LITTLE-HEATH-1ST-GAUGE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,TL255020,Long,-0.185289,Lat,51.702717,Elevation,375,ft.,,,,,,,,,,,,,,,,,,,,,,
Station no,RR2128,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919
January,,,,,,,,,,2.91,3.13,0.7,0.91,2.23,3.04,1.34,3.95,0.8,1.27,0.67,1.78,1.29,3.76,2.79,0.62,,,,,
February,,,,,,,,,,2.09,3.22,1.04,1.38,0.87,3.1,1.01,2.07,1.23,1.43,0.46,3.97,1.4,1.92,0.7,2.76,,,,,
March,,,,,,,,,,0.69,0.78,2.41,1.42,2.87,1.42,3.27,1.49,0.74,2.99,3.1,0.95,1.9,3.21,2.12,4.42,,,,,
April,,,,,,,,,,2.69,1,2.08,0.66,1.53,0.86,1.87,0.5,2.81,3.34,1.72,2.76,1.53,0.09,2.93,,,,,,
May,,,,,,,,,,1.76,1.04,1.59,2.17,2.37,2.13,1.25,1.14,1.81,1.46,1.23,2.38,2.57,1.2,1.54,,,,,,
June,,,,,,,,,,0.78,2.46,0.62,3.65,,0.9,3.23,3.35,1.97,1.03,4.44,3.94,2.45,2.29,0.66,,,,,,
July,,,,,,,,,,3.04,0.99,3.91,1.29,4.05,2.66,2.85,0.44,1.22,3.7,2.78,1.95,0.92,1.94,2.53,,,,,,
August,,,,,,,,,,0.38,2.57,1.54,3.3,4.32,2.04,2.74,0.79,1.91,2.98,2.03,2.98,0.66,4.71,0.79,,,,,,
September,,,,,,,,,,2.92,1.02,1.3,0.9,3.45,1.78,1.67,1.39,0.58,1.45,2.41,0.61,1.86,2.58,1.19,,,,,,
October,,,,,,,,,,2.2,2.32,1.88,1.6,6.82,1.5,1.28,4.19,4.13,1.56,4.75,2.18,3.23,2.84,3.29,,,,,,
November,,,,,,,,,,3.79,2.5,0.69,1.92,1.86,1.58,3.39,4.1,2.37,0.73,1.02,3.78,3.18,2.17,2.44,,,,,,
December,,,,,,,,,,1.54,2.97,3.57,1.4,1.94,2.03,0.85,2.74,3.81,2.1,2.89,4.28,5.03,2.57,0.84,,,,,,
Total,,,,,,,,,,24.79,24,21.33,20.6,,23.04,24.75,26.15,23.38,24.04,27.5,31.56,26.02,29.28,21.82,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NOTES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NGR is Inglefield. Altitudes match. 2 overlapping gauges seem to be same location.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"There are 8 duplicated monthly readings (out of 47) when the gauges overlap in the 1910s, but the readings are generally close so probably not an issue",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
