"POTTER'S BAR, LITTLE HEATH",,,,,,,,,,,,
Grid ref,TL252017,Long,-0.189736,Lat,51.700088,,,,,,,
Station no,RR2128,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,3.13,0.70,0.91,2.23,3.04,1.34,3.95,0.80,1.27,0.67,,
February,3.22,1.04,1.38,0.87,3.10,1.01,2.07,1.23,1.43,0.46,,
March,0.78,2.41,1.42,2.87,1.42,3.27,1.49,0.74,2.99,3.10,,
April,1.00,2.08,0.66,1.53,0.86,1.87,0.50,2.81,3.34,1.72,,
May,1.04,1.59,2.17,2.37,2.13,1.25,1.14,1.81,1.46,1.23,,
June,2.46,0.62,3.65,6.63,0.90,3.23,3.35,1.97,1.03,4.44,,
July,0.99,3.91,1.29,4.05,2.66,2.85,0.44,1.22,3.70,2.78,,
August,2.57,1.54,3.30,4.32,2.04,2.74,0.79,1.91,2.98,2.03,,
September,1.02,1.30,0.90,3.45,1.78,1.67,1.39,0.58,1.45,2.41,,
October,2.32,1.88,1.60,6.82,1.50,1.28,4.19,4.13,1.56,4.75,,
November,2.50,0.69,1.92,1.86,1.58,3.39,4.10,2.37,0.73,1.02,,
December,2.97,3.57,1.40,1.94,2.03,0.85,2.74,3.81,2.10,2.89,,
Total,24.00,21.33,20.60,38.94,23.04,24.75,26.15,23.38,24.04,27.50,,
Calc annual,24.00,21.33,20.60,38.94,23.04,24.75,26.15,23.38,24.04,27.50,,
Difference,0.00,-0.00,0.00,0.00,-0.00,-0.00,-0.00,-0.00,-0.00,0.00,,
