CHURCH-STRETTON-WESTOVER,,,,,,,,,,
Grid ref,SO461935,Long,-2.7960879,Lat,52.53668,Elevation,660,ft.,,
Station no,RR4855,,,,,,,,,
,,,,,,,,,,
,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919
January,,,,,,4.38,1.3,2.38,,
February,,,,,,5.76,6.02,1.32,,
March,,,,,,0.64,5.35,2.48,,
April,,,,,,1.69,1.57,1.86,,
May,,,,,,3.29,2.95,3.64,,
June,,,,,,0.87,2.2,3.04,,
July,,,,,,5.51,1.53,1.53,,
August,,,,,,3.41,2.68,,,
September,,,,,,0.79,1.49,,,
October,,,,,,3.15,5.68,,,
November,,,,,,3.25,3.23,,,
December,,,,,,5.87,1.95,,,
Total,,,,,,38.61,35.95,,,
,,,,,,,,,,
"NGR is Westover Sandford Avenue, altitude matches.",,,,,,,,,,
Gauge moved 200 yards East in 1917 to West Leigh,,,,,,,,,,
