PHUBUILL,,,,,,,,,,
Grid ref,NN456435,Long,-4.513797,Lat,56.558009,Elevation,1770,ft,,
Station no,5557/3/6,,,,,,,,,
,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960
January,,,,,,,,7.6,4.1,5.95
February,,,,,,,,3.71,4.6,6.47
March,,,,,,,,2.45,8.2,2.86
April,,,,,,,,4.45,7,9.24
May,,,,,,,,6.5,3.6,4.45
June,,,,,,,,3.5,5.53,4.1
July,,,,,,,,4.45,7.08,4.6
August,,,,,,,,8.1,5.6,3.45
September,,,,,,,,8,1.85,4.38
October,,,,,,,,8.9,9.8,5.87
November,,,,,,,,1.86,10.4,9.71
December,,,,,,,,9.3,12.38,10
Total,,,,,,,,68.82,80.14,71.08
,,,,,,,,,,
Station no,5557/3/6,,,,,,,,,
Midas,15126,,,,,,,,,
Hyd Stn,862420,,,,,,,,,
