DARLINGTON HEIGHINGTON VICARAGE,,,,,,,,,,,,,,,,,,,,
Grid ref,NZ249223,Long,-1.6161412,Lat,54.595275,Elevation,460,ft,,,,,,,,,,,,
Station no,RR6317,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,1870,1871,1872,1873,1874,1875,1876,1877,1878,1879,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889
January,1.49,0.63,2.6,1.51,1.72,2.94,0.66,4.42,2.09,1.37,0.45,0.88,1.13,2.54,,,,,,
February,2.09,1.78,2.92,1.97,1.26,1.16,2.49,2.49,1.16,3.51,1.75,3.38,0.71,1.83,,,,,,
March,1.4,0.8,4.05,2.41,0.78,0.69,2.82,3.02,0.85,1.34,1.16,3.19,1.94,1.73,,,,,,
April,0.46,3.02,2.71,1,1.5,0.85,2.74,4.65,2.28,2.05,2.41,1.03,4.72,1.96,,,,,,
May,0.71,1.14,1.77,2.39,2.62,1.13,0.9,2.32,4.41,1.89,1.47,1.58,2.31,1.62,,,,,,
June,1.48,3.33,2.16,1.61,1.41,1.89,2.57,1.87,2.68,3.92,1.37,2.34,5.36,2.76,,,,,,
July,0.83,3.91,4.08,2.67,1.48,6.76,2.01,4.47,0.49,4.02,5.56,3.3,4.08,3.85,,,,,,
August,,0.83,3.22,2.03,0.62,2.33,2.53,5.4,5.04,3.06,1.97,5.52,2.39,1.71,,,,,,
September,0.43,5.79,4.22,1.37,2.8,2.69,4.03,2.87,1.72,1.25,4.73,3.76,2.67,4.38,,,,,,
October,5.22,1.4,4.93,1.29,2.71,5.43,1.97,3.14,1.61,0.55,5.64,3.62,4.16,2.11,,,,,,
November,1.96,2.21,4.42,2.06,1.79,6.06,3.09,2.62,6.86,2.04,2.14,2.31,3.42,0.93,,,,,,
December,4.66,1.65,3.69,0.38,4.13,1.73,7.16,1.85,2.8,0.68,3.68,3.45,5.02,1.34,,,,,,
Total,,26.49,40.77,20.69,22.82,33.66,32.97,39.12,31.99,25.68,32.33,34.36,37.91,26.76,,,,,,
