LETTERKENNY - Glendooen,,,,,,,,,,,,,,,,,,,,
Grid ref,IC1264209385,Long,-7.803528069,Lat,54.93209456,Elevation,107,ft,,,,,,,,,,,,
Station no,RR3196,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,1860,1861,1862,1863,1864,1865,1866,1867,1868,1869,1870,1871,1872,1873,1874,1875,1876,1877,1878,1879
January,,,,,3.55,7.95,10.16,6.09,8.14,5.56,3.93,5.7,,,4.63,,,,,
February,,,,,3.62,5.03,7.28,5.24,4.58,6.13,4.11,3.5,,,2.86,,,,,
March,,,,,6.56,3.56,3.73,3.59,6.61,3.61,1.77,4.48,,,4.81,,,,,
April,,,,,3.01,0.95,2.74,5.76,2.66,2.5,3.26,4.42,,,6.4,,,,,
May,,,,,1.93,2.68,1.64,4.44,3.44,3.46,3.16,1.29,,,2.25,,,,,
June,,,,,4.77,0.85,2.58,1.55,3.31,2.5,2.7,3.82,,,2.51,,,,,
July,,,,,2.3,3.76,2.53,8.4,0.71,3.15,1.82,9.43,,4.19,2.7,,,,,
August,,,,,3.37,5.5,5.4,1.88,6.31,1.3,2.33,3.5,,6.9,6.08,,,,,
September,,,,,5.6,0.85,6.42,3.74,2.79,5.73,5.9,2.78,,5.13,5.26,,,,,
October,,,,,3.32,7.22,3.68,8.32,4.63,4.3,11.05,4.74,,6.67,7.49,,,,,
November,,,,,5.91,6.58,7.79,1.27,7.02,8.61,4.49,4.5,,3.44,5.13,,,,,
December,,,,,2.38,5.53,7.97,4.37,6.36,6,4.9,4.47,,3.66,6.07,,,,,
Total,,,,,46.32,50.46,61.92,54.65,56.56,52.85,49.42,52.63,,,56.19,49.55,,,,
,,,,,,,,,,,,,,,,,,,,
1869 total arithmetic incorrect on record,,,,,,,,,,,,,,,,,,,,
Observer Rev Henry Kingsmill 1803-1888 lived at Glendoon/Glendooen,,,,,,,,,,,,,,,,,,,,
