"PENRITH GREYSTOKE",,,,,,,,,,,,
Grid ref,NY439310,Long,-2.871393,Lat,54.670932,,,,,,,
Station no,RR121,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,3.78,3.08,3.26,6.53,4.75,2.02,7.89,1.90,4.20,3.83,,
February,5.01,0.98,1.15,9.77,4.32,3.14,3.28,3.10,4.08,3.90,,
March,0.61,3.08,2.77,9.03,2.84,3.50,3.04,4.38,4.90,3.64,,
April,3.15,2.38,2.30,1.63,4.10,4.17,0.94,1.51,2.43,2.62,,
May,2.14,1.58,3.05,3.51,1.80,0.76,5.94,5.84,2.65,1.74,,
June,3.33,1.85,1.55,1.33,5.28,1.35,1.04,4.93,2.00,2.79,,
July,2.23,1.29,3.30,4.22,1.65,1.15,2.28,2.00,3.72,5.01,,
August,7.28,4.57,1.70,5.28,4.88,2.46,4.77,3.49,4.58,3.30,,
September,2.24,1.56,2.58,4.48,1.04,3.25,1.83,0.50,3.90,2.53,,
October,5.72,3.87,3.45,11.54,1.78,3.05,6.66,5.96,1.89,6.61,,
November,3.34,5.10,2.99,3.71,3.80,4.46,4.86,3.61,3.67,2.65,,
December,7.61,5.69,6.05,3.66,4.34,2.55,3.04,6.45,3.11,6.73,,
Total,46.44,35.03,34.15,64.69,40.58,31.86,45.57,43.67,41.13,45.35,,
Calc annual,46.44,35.03,34.15,64.69,40.58,31.86,45.57,43.67,41.13,45.35,,
Difference,0.00,0.00,0.00,0.00,0.00,-0.00,0.00,0.00,0.00,-0.00,,
