PENRITH GREYSTOKE CASTLE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,NY435310,Long,-2.8774,Lat,54.671,Elevation,700,ft,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Station no,RR121,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1840,1841,1842,1843,1844,1845,1846,1847,1848,1849,1850,1851,1852,1853,1854,1855,1856,1857,1858,1859,1860,1861,1862,1863,1864,1865,1866,1867,1868,1869,1870,1871,1872,1873,1874,1875,1876,1877,1878,1879,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889
January,,,,,,,3.64,2.18,1.89,7.82,2.73,7.53,9.84,6.39,2.81,1.01,2.95,2.5,1.58,6.35,7.4,1.53,4.59,7.61,2.82,3.1,8.11,5.57,6.45,3.79,4,3.57,3.92,8.54,5.02,,,,,,,,,,,2.78,4.87,,,
February,,,,,,,2.54,2.1,9.72,2.25,3.86,0.82,5.4,1.3,2.56,0.86,2.89,2.3,0.7,5.99,2.21,4.63,1.32,3.09,2.8,2.51,4.71,3.3,4.69,7.07,4.06,2.81,5.43,1.29,1.73,,,,,,,,,,,5.21,2.05,,,
March,,,,,,,5.3,1.21,1.79,1.4,0.67,4.93,0.22,0.78,0.51,2.45,0.2,4.08,2.79,3.93,5.79,5.3,3.02,1.77,4.6,1.49,2.62,1.54,5.37,0.79,1.05,2.94,2.6,2.03,2.99,,,,,,,,,,4.17,3.05,5.32,,,
April,,,,,,,3.05,3.23,2.81,2.07,2.76,2.06,0.87,3.98,1.45,2.23,2.46,1.88,0.53,2.6,2.14,0.83,3.3,3.92,1.36,0.84,2.24,4.56,3.73,1.85,0.51,2.3,1.25,0.43,2.38,,,,,,,,,,2.54,3.69,2.07,,,
May,,,,,,,1.79,4.03,1.12,0.62,2.72,1,3.11,1.71,2.58,1.07,3.66,1.5,4.08,0.2,1.89,0.83,4.18,2.69,1.7,4.45,4.62,2.67,1.66,4.19,1.06,1.19,1.89,1.66,1.43,,,,,,,,,,2.49,2.44,5.72,,,
June,,,,,,,5.08,3,4.9,0.72,3.94,3.39,6.59,2.95,4.85,4.91,4.19,2.11,3.36,1.72,4.5,2.12,3.25,4.04,3.02,0.71,1.07,1.18,0.04,0.57,2.41,3.27,3.23,1.75,1.33,,,,,,,,,,1.14,1.3,1.76,,,
July,,,,,,,16.95,0.1,2.75,3.81,4.94,5.41,2.7,3.54,0.17,1.85,1.7,2.76,2.57,2.28,1.57,4.14,3.7,1.29,1.38,1.98,3.86,3.35,0.29,0.16,0.45,3.53,3.17,3.75,2.25,,,,,,,,,,6.92,1.1,1.52,,,
August,,,,,,,3.57,2.22,3.75,5.06,4.49,3.55,4.66,1.94,2.22,3.7,3.39,3.97,2.71,4.64,4.66,4.8,2.82,4.19,2.06,4.42,4.99,2.41,2.84,2.1,3.81,3.11,3.85,5.48,4.35,,,,,,,,,,1.56,2.73,2,,,
September,,,,,,,1.65,3.5,2.63,3.03,-999,2.68,3.07,3.95,2.67,1.16,3.97,2.64,4.43,3.58,1.74,6.54,2.63,6.91,4.33,2.28,7.38,4.08,3.69,1.22,2.34,3.79,7.05,2.57,6.08,,,,,,,,,,4.26,4.55,2.93,,,
October,,,,,,2.42,7.19,7.17,3.96,3.26,-999,4.18,3.22,3.84,1.53,6.69,2.94,2.75,4.57,3.55,6.79,1.47,7.83,5.17,3.82,4.04,2.96,3.62,5.72,4.09,8.3,4,7.24,5.25,7.73,,,,,,,,,,2.5,3.38,7.5,,,
November,,,,,,6.24,4.54,6.34,3.94,4.33,5.63,1.27,5.98,2.11,2.43,2.2,1.25,2.87,2.33,5.79,1.56,8.81,2.86,4.83,3.22,3.85,4.53,0.71,4.69,6.68,2.92,1.34,5.8,2.76,2.34,,,,,,,,,,2.7,2.5,2.55,,,
December,,,,,,5.54,1.44,2.68,4.74,2.01,2.59,1.72,12.28,0.71,5.3,1.71,6.81,5.82,3.76,3.27,3.58,3.34,4.29,4.19,3.01,3.65,4.56,2.5,6.38,6.05,2.21,4.27,5.75,2.7,0.78,,,,,,,,,,5.76,3.09,5.3,,,
Total,,,,,,,56.74,37.76,44,36.38,43.02,38.54,57.94,33.2,29.08,29.84,36.41,35.18,33.41,43.9,43.83,44.34,43.79,49.7,34.12,33.32,51.65,35.49,45.55,38.56,33.12,36.12,51.18,38.21,38.41,,,,,,,,,,,35.82,43.59,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SOME DUPLICATIONS WITH PENRITH ENNIM FOR 1871 AND 1873 BUT UNCLEAR IF EITHER COPIED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IDR 1850 Sep-Oct bracketed (-999),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
