BUNGAY-BRIDGE-HOUSE,,,,,,,,,,,,,,,,,,,,
Grid ref,TM333897,Long,1.4323164,Lat,52.45539,Elevation,33,ft,,,,,,,,,,,,
Station no,1376/2,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950
January,,,,,,2.71,4.03,2.35,,1.56,2.47,,,,,,,,,
February,,,,,,2.47,2.98,0.95,,1.17,1.66,,,,,,,,,
March,,,,,,0.37,2.75,0.58,2.3,3,3.22,,,,,,,,,
April,,,,,,1.26,2.32,0.7,2.24,1.42,0.92,,,,,,,,,
May,,,,,,1.08,2.87,2.09,1.07,0.2,1.94,,,,,,,,,
June,,,,,,3.65,1.58,1.3,1.36,0.25,0.39,,,,,,,,,
July,,,,,,3.68,1.35,1.97,1.45,3.39,1.3,,,,,,,,,
August,,,,,,1.2,1.75,1.4,3.63,0.65,4.37,,,,,,,,,
September,,,,,,2.07,2.32,2.47,1.4,0.83,0.13,,,,,,,,,
October,,,,,,2.39,2.41,2.59,5.77,1.6,2.67,,,,,,,,,
November,,,,,,3.11,1.81,2.3,4.43,6.11,2.19,,,,,,,,,
December,,,,,,1.43,3.54,2.58,2.16,1.66,1.3,,,,,,,,,
Total,,,,,,25.42,29.71,21.28,,21.84,22.56,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
Snow estimates kept,,,,,,,,,,,,,,,,,,,,
1939 Jan Feb estimated,,,,,,,,,,,,,,,,,,,,
