Rainfall at,MOORFOOT HILLS GLADHOUSE
,
Station no,5114,
,,
,1870,1871,1872,1873,1874,1875,1876,1877,1878,1879
January,3.17,,,,3.26,6.78,1.43,8.87,4.60,1.45,
February,4.60,,,,2.50,0.93,5.13,3.36,1.55,3.68,
March,1.30,,,,2.82,1.43,5.00,3.33,1.30,3.42,
April,1.30,,,,2.38,1.37,4.70,4.98,1.90,2.40,
May,2.52,,,,1.56,2.00,1.55,4.00,3.10,2.30,
June,3.00,,,,1.29,3.33,3.00,3.08,3.00,5.37,
July,1.44,,,,3.00,3.52,2.50,5.79,1.38,6.80,
August,1.83,,,,6.10,2.32,5.85,7.70,6.55,4.35,
September,2.50,,,,2.75,3.64,5.15,2.60,3.93,2.32,
October,4.44,,,,4.45,6.04,2.62,4.64,3.13,1.60,
November,2.20,,,,6.82,5.80,5.14,5.35,4.05,3.13,
December,3.28,,,,3.67,3.46,8.45,2.85,4.05,1.68,
Total,31.58,,,,40.60,40.62,50.52,56.55,38.54,38.50,
Calc annual,31.58,0.00,0.00,0.00,40.60,40.62,50.52,56.55,38.54,38.50,
Difference,-0.00,NaN,NaN,NaN,-0.00,-0.00,0.00,-0.00,0.00,-0.00,
