Rainfall at,MOORFOOT HILLS (GLADHOUSE RESERVOIR)
,
Station no,,
,,
,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930
January,3.86,6.05,3.21,2.35,2.50,2.78,3.85,2.86,5.59,1.41,3.95,
February,3.54,1.02,2.30,4.52,1.02,5.30,3.12,1.38,2.76,1.22,1.02,
March,3.88,3.18,2.12,1.88,0.90,3.36,2.65,3.12,3.96,0.32,2.20,
April,3.48,1.02,2.30,2.90,1.61,4.76,2.11,2.19,1.12,1.62,1.50,
May,3.93,1.78,1.60,3.32,4.58,5.51,4.12,1.78,1.83,2.02,1.29,
June,1.30,0.63,1.68,1.52,2.04,0.74,5.05,2.84,4.52,2.12,1.82,
July,3.81,2.84,4.31,3.57,4.75,1.36,3.42,2.88,2.14,3.82,3.22,
August,6.36,5.38,2.23,5.09,3.31,3.78,2.60,6.08,5.27,5.17,6.08,
September,1.51,1.82,2.42,2.60,4.03,4.81,4.26,8.21,2.18,0.45,5.08,
October,1.87,4.19,2.62,3.75,3.24,2.14,4.48,4.21,4.46,3.85,3.60,
November,2.52,1.43,1.53,4.38,1.92,1.19,4.15,3.58,3.62,3.94,5.08,
December,3.16,4.40,3.28,3.20,3.32,3.88,1.44,3.18,2.38,6.19,2.19,
Total,39.22,33.74,29.60,39.08,33.22,39.61,41.25,42.31,39.83,32.13,37.03,
Calc annual,39.22,33.74,29.60,39.08,33.22,39.61,41.25,42.31,39.83,32.13,37.03,
Difference,0.00,0.00,-0.00,-0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
