"MOORFOOT HILLS GLADHOUSE RESERVOIR",,,,,,,,,,,,
Grid ref,NT299544,Long,-3.119136,Lat,55.777821,,,,,,,
Station no,5114,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,4.17,2.42,1.30,5.25,2.90,1.03,3.72,2.00,3.47,2.90,,
February,4.88,1.46,1.04,5.53,3.25,1.45,1.43,1.95,1.85,2.23,,
March,1.52,2.22,1.92,4.30,1.82,3.82,2.95,2.52,5.29,6.99,,
April,2.17,1.85,1.75,1.42,2.53,2.45,1.35,2.18,1.72,3.18,,
May,1.81,2.34,3.04,2.33,3.55,1.68,5.27,3.33,3.52,2.72,,
June,3.79,2.31,3.62,1.80,2.95,1.28,1.96,3.61,1.29,2.23,,
July,3.04,1.13,2.48,4.18,1.85,1.76,1.91,3.10,3.95,4.37,,
August,4.21,5.33,1.43,4.30,5.06,3.52,6.92,4.14,1.98,2.29,,
September,3.15,1.26,2.17,2.23,2.12,3.12,1.07,1.62,4.15,2.69,,
October,4.83,2.99,2.09,8.33,1.20,2.67,7.09,9.37,1.16,5.46,,
November,4.58,3.55,2.22,2.46,2.08,4.08,5.86,2.09,1.84,0.85,,
December,5.23,6.11,3.62,2.20,2.98,1.87,1.96,4.09,0.92,4.06,,
Total,43.38,32.97,26.68,44.33,32.29,28.73,41.49,40.00,31.14,39.97,,
Calc annual,43.38,32.97,26.68,44.33,32.29,28.73,41.49,40.00,31.14,39.97,,
Difference,0.00,-0.00,0.00,-0.00,0.00,0.00,0.00,0.00,0.00,-0.00,,
