Rainfall at,MOORFOOT HILLS (GLADHOUSE RESERVOIR)
,
Station no,5114,
,,
,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930
January,4.00,6.24,3.28,2.47,2.57,2.85,3.91,2.90,5.73,1.50,4.04,
February,3.62,1.11,2.36,4.66,1.09,5.41,3.26,1.41,2.89,1.25,1.11,
March,3.92,3.33,2.20,1.95,0.94,3.42,2.74,3.18,3.98,0.36,2.34,
April,3.59,1.09,2.39,3.26,1.69,4.88,2.18,2.27,1.21,1.65,1.55,
May,4.02,1.90,1.68,3.46,4.64,5.67,4.28,1.86,1.96,2.11,1.36,
June,1.35,0.70,1.76,1.58,2.13,0.80,5.32,2.94,4.67,2.26,1.88,
July,3.92,2.91,4.43,3.71,4.86,1.41,3.50,3.02,2.21,4.08,3.33,
August,6.42,5.53,2.28,5.20,3.39,3.92,2.65,6.29,5.39,5.25,6.26,
September,1.64,1.95,2.57,2.67,4.17,4.96,4.37,8.38,2.26,0.48,5.26,
October,1.93,4.31,2.67,3.86,3.31,2.22,4.52,4.39,4.21,3.99,3.65,
November,2.57,1.49,1.59,4.49,1.98,1.11,4.25,3.72,3.70,4.06,5.19,
December,3.21,4.40,3.49,3.02,3.40,4.07,1.50,3.35,2.45,6.33,2.36,
Total,40.19,34.96,30.70,40.33,34.17,40.72,42.48,43.71,40.66,33.32,38.33,
Calc annual,40.19,34.96,30.70,40.33,34.17,40.72,42.48,43.71,40.66,33.32,38.33,
Difference,-0.00,0.00,-0.00,-0.00,0.00,0.00,-0.00,0.00,-0.00,0.00,0.00,
