CHELTENHAM-OLD-BATH-ROAD-MORRONE,,,,,,,,,,,,,,,,,,,,,
Grid ref,SO952201,Long,-2.0711361,Lat,51.879444,Elevation,290,ft,,,,,,,,,,,,,
Station no,RR6991,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930
January,,,,,,,,1.46,2.5,3.77,3.64,2.61,3.11,1.51,3.2,1.96,3.49,,,,
February,,,,,,,,1,1.38,2.65,0.88,0.24,3.33,5.98,0.67,4.55,1.79,,,,
March,,,,,,,,2.28,1.31,4.02,3.38,1.45,2.32,1.95,0.98,0.43,0.27,,,,
April,,,,,,,,1.62,2.53,2.37,4.28,1.34,3.1,2.75,2.55,1.88,4.06,,,,
May,,,,,,,,2.06,1.4,1.07,1.36,1.73,0.75,1.69,7.67,2.87,2.99,,,,
June,,,,,,,,2.03,1.06,1.45,2.64,0.67,0.78,0.4,2.4,0.06,1.81,,,,
July,,,,,,,,2.21,3.53,2.8,5.5,0.3,4.03,1.4,4.3,2.43,2.72,,,,
August,,,,,,,,5.94,0.96,1.71,1.86,2.77,4.6,2.28,3.08,2,1.74,,,,
September,,,,,,,,1.97,5.31,1.28,2.53,1.65,1.98,2.36,4.54,3.78,1.18,,,,
October,,,,,,,,3.28,1.38,1.7,1.97,1.48,0.71,5.36,4.18,2.62,2.95,,,,
November,,,,,,,,0.68,2.23,1.32,0.65,2.16,1.57,1.6,2.59,1.78,7.13,,,,
December,,,,,,,,1.15,2.16,3.39,2.39,1.62,4.2,2.67,3.42,2.76,0.51,,,,
Total,,,,,,,,25.68,25.75,27.53,31.08,18.02,30.48,29.95,39.58,27.12,30.64,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
1917 Total corrected,,,,,,,,,,,,,,,,,,,,,
