CHESTERFIELD-BRIMINGTON-HALL,,,,,,,,,,,,,,,,,,,,
Grid ref,SK405733,Long,-1.3944052,Lat,53.25517,Elevation,400,ft.,,,,,,,,,,,,
Station no,RR6189,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899
January,0.53,0.55,2.77,4.02,3.6,2.07,4,1.23,1.84,,,1.5,1.99,1.3,2.03,,,,,
February,2.46,3.83,2,2.9,1.8,3.02,0.79,0.45,1.37,,,0.31,2.09,2.59,2.75,,,,,
March,1.8,3.92,1.56,1.44,2.05,1.38,2.46,1.76,3.05,,,1.29,1.43,0.46,1.2,,,,,
April,2.12,1.45,3.67,3.07,2.54,1.59,2.04,1.19,1.87,,,1.13,1.28,0.41,1.97,,,,,
May,2.35,1.4,1.9,1.61,1.28,1.65,7.27,1.9,0.9,,,,2.17,3.11,1.87,,,,,
June,6.08,2.32,3.66,3.86,1.79,3.03,1.4,0.36,2.68,0.57,,,3.03,1.37,1.92,,,,,
July,5.78,1.8,4.03,2.85,4.11,0.57,3.56,1.47,4.62,2.72,,,2.39,2.7,2.52,,,,,
August,2.51,6.98,2.59,1.2,2.06,2.86,3.2,2.45,2.79,3.23,,,2.22,1.64,2.48,,,,,
September,4.74,2.17,2.54,5.33,1.29,2.93,1.3,2.6,1.06,2.17,,,2.21,1.67,0.58,,,,,
October,7.29,3.97,5.57,4.19,1.52,6.92,4.5,2.05,0.72,4.91,,,4.92,1.71,3.92,,,,,
November,2.92,3.14,4.52,3.49,1.32,2.23,1.71,1.72,5.13,1.09,,,1.42,1.48,1.61,,,,,
December,3.92,2.53,5.78,1.66,1.82,0.65,3.73,2.11,2.37,1.84,,,0.47,3.88,1.3,,,,,
Total,42.5,34.06,40.59,35.62,25.18,28.9,35.96,19.29,28.4,,,,25.62,22.32,24.15,,,,,
,,,,,,,,,,,,,,,,,,,,
NGR is Brimington Hall. Altitudes match. ,,,,,,,,,,,,,,,,,,,,
Different observers for each decade.,,,,,,,,,,,,,,,,,,,,
