DAWLISH-OAK-PARK,,,,,,,,,,,,,,,,,,,,
Grid ref,SX963771,Long,-3.46546,Lat,50.58486,Elevation,125,ft,,,,,,,,,,,,
Station no,1731/9,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950
January,,,,,,,,,,2.4,5.82,,8.91,2.53,3.25,4.19,3.98,6.71,,
February,,,,,,,,,,4.89,4.43,,2.01,0.45,2.49,3.41,2.45,1.42,,
March,,,,,,,,,,3.05,3.55,,1.46,0.26,0.98,1.66,9.61,1.47,,
April,,,,,,,,,,3.6,1.74,,1.21,2.44,0.82,2.55,2.89,2.39,,
May,,,,,,,,,,1.8,2.59,,3.68,0.3,4.44,6.31,2.91,2.51,,
June,,,,,,,,,,0.81,2.57,0.77,1.19,2.35,3.04,2.94,2.73,1.88,,
July,,,,,,,,,,2.35,0.82,1.82,2.6,2.52,2.21,2.13,1.83,0.93,,
August,,,,,,,,,,0.06,4.65,4.47,2.98,4.37,1.91,4.07,1.1,2.96,,
September,,,,,,,,,,1.34,0.87,2.92,3.49,1.93,3.06,4.67,2.14,1.39,,
October,,,,,,,,,,4.73,1.53,4.3,3.38,5.18,4.26,2.4,1.12,3.16,,
November,,,,,,,,,,6.57,3.16,0.88,2.42,6.19,1.13,7.02,2.23,,,
December,,,,,,,,,,3.63,3.42,4.91,3.41,2.19,5.95,4.99,2.09,,,
Total,,,,,,,,,,35.23,35.15,,36.74,30.71,33.54,46.34,35.08,,,
,,,,,,,,,,,,,,,,,,,,
1940 Gauge moved from Bicknoller Orchards Stn No 2090/8,,,,,,,,,,,,,,,,,,,,
Not known if this was same house as earlier record but few houses in road,,,,,,,,,,,,,,,,,,,,
1940 Not printed Big Unorthodox exposure,,,,,,,,,,,,,,,,,,,,
1941 Not printed High Site unsuitable,,,,,,,,,,,,,,,,,,,,
1943 Rim of gauge 3ft above ground to clear plants and low walls,,,,,,,,,,,,,,,,,,,,
1949 Terminated due to old age and ill health of observer,,,,,,,,,,,,,,,,,,,,
