DAWLISH-OAK-PARK,,,,,,,,,,,,,,,,,,,,
Grid ref,SX963771,Long,-3.46546,Lat,50.58486,Elevation,120,ft,,,,,,,,,,,,
Station no,1731/9,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,1870,1871,1872,1873,1874,1875,1876,1877,1878,1879,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889
January,,,,,,,0.85,6.87,2.08,6.41,0.73,3.9,2.07,3.36,3.94,2.48,4.85,2.96,1.24,0.65
February,,,,,,,3.83,1.33,2.38,5.33,4.54,4.88,2.35,6.07,5.13,4.38,1.47,0.57,0.59,2.21
March,,,,,,,3.78,2.63,1.38,0.79,3.61,4.87,1.02,1.46,3.24,1.11,3.67,1.33,4.53,3.62
April,,,,,,,2.91,6.02,5.7,4.47,2.52,0.83,5.94,1.14,2.77,3.68,1.92,1.03,1.57,1.62
May,,,,,,,0.59,3.61,4.4,2.79,0.91,0.56,1.45,2.08,1.55,3.01,3.64,1.77,2.01,2.41
June,,,,,,,1.46,1.35,2.57,8.03,2.1,3.83,3.22,2.93,1.85,1.28,0.95,0.04,2.21,0.54
July,,,,,,4.18,0.66,2.5,1.98,4.41,3.33,1.76,4.34,3.43,2.66,0.21,3.12,1.24,6.31,4.52
August,,,,,,2.25,2.89,3.68,4.03,4.76,0.7,4.69,1.98,0.56,1.19,2.21,1.77,0.97,2.73,2.55
September,,,,,,3.84,5.68,2.3,1.7,2.79,3.24,2.24,3.74,5.51,1.75,3.75,1.86,2.69,0.79,1.38
October,,,,,,7.88,4.17,2.4,3.73,0.88,7.1,3.94,7.32,3.38,1.01,5.99,6.45,3.7,1.37,4.06
November,,,,,,4.37,5.49,6.95,3.39,0.16,3.25,5.04,4.62,3.5,1.55,4.07,2.84,3.76,7.95,1.45
December,,,,,,1.28,9.2,1.64,3.38,1.1,4.17,3.44,4.37,0.65,3.44,2.2,5.53,2.73,3.04,2.16
Total,,,,,,,41.51,41.28,36.72,41.92,36.2,39.98,42.42,34.07,30.08,34.37,38.07,22.79,34.34,27.17
,,,,,,,,,,,,,,,,,,,,
1879 Gauge taken over by new observer but no note if it was moved,,,,,,,,,,,,,,,,,,,,
Oak Park has only 6 semi houses at this time so if moved it was short distance,,,,,,,,,,,,,,,,,,,,
1890 BR has no entry,,,,,,,,,,,,,,,,,,,,
