SPROWSTON OAK LODGE,,,,,,,,,,,,
Grid ref,TG245128,Long,1.318660,Lat,52.666393,,,,,,,
Station no,,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,2.65,0.56,1.04,1.48,1.33,0.86,3.61,1.12,1.00,0.65,,
February,2.74,1.44,0.94,0.29,2.76,1.52,2.20,1.43,2.00,0.63,,
March,1.09,1.59,0.91,1.48,1.78,1.81,1.96,1.34,2.42,2.85,,
April,1.80,2.13,1.61,2.24,0.75,2.20,0.65,4.20,2.23,1.28,,
May,1.47,1.04,3.85,1.64,1.59,1.40,3.43,2.73,1.59,1.13,,
June,2.78,1.64,2.17,2.36,0.72,3.17,1.90,2.36,1.08,2.73,,
July,1.86,1.56,2.01,4.66,1.68,0.95,0.58,1.43,3.03,2.85,,
August,3.98,1.01,2.68,3.15,2.40,2.62,1.88,1.15,2.00,1.57,,
September,0.72,0.85,1.18,2.78,2.04,2.42,1.11,0.44,1.55,1.82,,
October,2.20,2.04,1.58,5.22,1.20,4.21,2.64,3.29,1.48,3.72,,
November,2.04,2.27,1.42,1.88,1.56,2.16,4.32,2.47,1.50,1.36,,
December,2.75,3.83,1.57,1.14,2.16,0.97,3.05,2.23,1.27,4.43,,
Total,26.08,19.96,20.96,28.32,19.97,24.29,27.33,24.19,21.15,25.02,,
Calc annual,26.08,19.96,20.96,28.32,19.97,24.29,27.33,24.19,21.15,25.02,,
Difference,0.00,0.00,0.00,0.00,0.00,0.00,-0.00,0.00,0.00,0.00,,
