SPROWSTON (OAK LODGE),,,,,,,,,,,,
Grid ref,TG245128,Long,1.318660,Lat,52.666393,,,,,,,
Station no,1420,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,3.19,2.82,1.24,1.63,1.84,3.09,,,,,,
February,3.23,0.99,1.71,2.13,2.36,1.70,,,,,,
March,3.37,2.53,0.60,2.40,1.68,0.97,,,,,,
April,3.62,1.63,1.92,0.63,0.47,0.95,,,,,,
May,1.73,1.11,1.23,1.73,2.11,0.78,,,,,,
June,1.32,1.51,2.02,2.16,2.32,4.36,,,,,,
July,1.91,2.12,2.40,2.69,0.36,2.53,,,,,,
August,3.45,2.09,2.79,5.36,0.90,4.05,,,,,,
September,2.29,2.81,1.91,1.71,2.03,1.31,,,,,,
October,1.04,2.32,2.36,2.45,4.68,3.26,,,,,,
November,3.29,4.38,1.48,4.45,0.87,1.44,,,,,,
December,1.54,2.67,1.19,1.78,1.90,1.68,,,,,,
Total,29.98,26.98,20.85,29.12,21.52,26.12,,,,,,
Calc annual,29.98,26.98,20.85,29.12,21.52,26.12,0.00,0.00,0.00,0.00,,
Difference,0.00,0.00,0.00,0.00,0.00,0.00,NaN,NaN,NaN,NaN,,
