HORRABRIDGE (DOSTABROOK),,,,,,,,,,,,
Grid ref,SX511700,Long,-4.101382,Lat,50.510807,,,,,,,
Station no,1650/3,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,6.82,5.48,1.50,2.74,6.90,6.32,6.09,6.72,8.26,6.10,,
February,6.18,1.09,2.48,6.14,4.12,0.43,8.11,5.86,0.36,6.10,,
March,5.77,5.72,1.35,5.44,2.06,2.16,6.56,2.20,6.23,3.11,,
April,2.65,5.08,3.54,0.63,2.29,1.14,0.37,1.29,5.62,4.53,,
May,3.69,3.08,5.36,4.66,5.16,1.24,3.22,5.21,0.99,2.83,,
June,1.46,1.94,4.56,4.97,3.43,2.38,2.81,4.50,1.89,2.53,,
July,2.90,1.83,4.53,4.17,3.26,6.31,5.12,6.21,2.34,6.67,,
August,8.52,6.30,3.06,5.61,0.51,4.00,4.72,7.67,1.96,4.99,,
September,6.25,3.45,5.37,6.68,2.63,7.23,5.94,7.90,0.17,7.99,,
October,1.69,6.34,5.26,5.70,3.12,2.94,4.46,6.22,6.20,8.78,,
November,9.21,3.48,3.74,10.95,6.76,2.37,3.09,3.66,11.47,9.44,,
December,5.79,4.47,1.03,5.31,8.33,8.90,5.38,6.46,11.72,6.21,,
Total,60.93,48.26,41.78,63.00,48.57,45.42,55.87,63.90,57.21,69.28,,
Calc annual,60.93,48.26,41.78,63.00,48.57,45.42,55.87,63.90,57.21,69.28,,
Difference,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,
