MOTTRAM MATLEYS FIELD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,SJ989937,Long,-2.018026,Lat,53.440073,Elevation,452,ft,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Station no,RR138,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1850,1851,1852,1853,1854,1855,1856,1857,1858,1859,1860,1861,1862,1863,1864,1865,1866,1867,1868,1869,1870,1871,1872,1873,1874,1875,1876,1877,1878,1879,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930
January,,,4,,1.46,0.52,0.57,2,1.05,1.7,2.97,0,2.31,4.5,1.3,3.27,3.94,3.88,3.01,2.8,2.6,1.57,4.72,2.62,3.49,3.49,2.3,5.61,5.09,0.65,0.57,0.77,3.54,4.38,5.28,1.99,5.28,1.46,1.83,1.8,3.14,2.81,3.34,1.88,2.75,2.4,1.43,1.29,1.95,3.16,3.16,2.06,2.9,1.94,2.22,2.04,3.4,1.11,2.17,1.37,3.55,1.09,1.99,3.07,3.19,5.44,3.02,2.69,2.51,4.4,5.05,5.72,3.36,,,,,,,,
February,,,,,1.92,0.47,2.07,0.93,0.34,2.28,0.48,2.78,0.73,1.02,3.34,2.45,3.77,3.91,2.62,5.31,0.87,3.15,3.73,0.65,1.55,0.74,2.05,4.33,1.11,2.12,3.29,5.39,3.79,2.42,2.12,2.44,0.56,0.63,1.74,1.89,0.56,0.36,2.81,3.97,4.47,0.38,2.17,2.41,2.88,0.49,2.14,1.38,0.65,2.33,2.82,1.78,2.74,1.95,3.34,2.36,2.95,2.84,0.62,0.71,1.95,3.22,5.41,0.83,4.5,1.76,3.73,0.44,4.64,,,,,,,,
March,,,0.33,,1.17,1.33,0.29,0.71,1.34,4.47,4.57,5.47,3.52,0.83,2.21,1.61,1.94,1.85,4.72,1.16,2.18,1.49,2.4,2.25,3.33,0.64,4.11,3.84,1.39,1.61,2.7,4.69,2.98,1.02,2,2.38,2.61,1.52,2.51,4.02,3.77,1.96,1.01,0.62,2.79,3.42,4.9,2.74,1.75,1.76,0.73,2.14,1.68,3.42,1.7,3.4,2.97,2.76,3.01,2.34,0.56,2.11,3.17,3.5,4.21,1.74,3.07,2.03,1.72,6.11,2.56,2.71,2.32,,,,,,,,
April,,,0.16,,0.58,0.9,1.74,2.48,2.31,2.28,1.34,1.17,2.95,2.18,1.13,2.02,0.76,5.59,2.29,2.43,2.51,3.91,2.79,0.36,1.4,1.18,3.24,2.16,1.96,2.21,1.96,1.01,3.38,1.84,1.52,1.28,2.27,1.55,2.11,2.06,0.75,2.06,1.28,0.65,1.82,1.52,1.98,2.74,2.39,2.87,2.18,2.07,1.89,1.45,1.84,2.27,1.92,1.52,1.9,2.6,3.92,2.51,1.22,2.77,1.96,1.45,2.75,2.28,1.4,2.91,4.53,1.54,2.69,,,,,,,,
May,,,1.48,,2.51,1.33,,1.37,1.69,0.26,3.99,1.2,4.39,1.8,3.17,2.86,1.81,2.46,1.52,4.03,1.42,1.91,3.2,2.35,1.49,2.03,1.6,3.73,2.83,2.28,2.98,3.6,1.83,1.19,2.05,2.13,6.4,2.31,0.66,2.01,2.17,3.93,4.32,2.64,2.2,1.33,0.57,1.93,3.21,2.65,1.18,0.63,2.57,2,2.4,0.64,3.41,3.99,2.73,1.75,2.19,2.6,2.4,2.28,2.85,1.41,2.2,1.97,2.76,2.25,5.33,1.82,1.24,,,,,,,,
June,,4.01,3.08,,1.75,2.12,-999,3.72,3.36,2.07,6.47,2.91,3.42,4.27,3.3,0.88,4.9,2.32,0.16,1.36,1.84,3.87,7.97,2.23,1,2.79,3.87,2.78,1.41,4.51,4.19,2.01,7.43,5.26,1.38,3.59,1.5,0.59,2.89,0.6,4.04,3.18,3.26,2.2,3.27,2.05,2.89,2.44,2.34,1.14,3.37,1.13,1.61,1,0.68,2.91,1.65,5.43,1.95,2.74,3.03,2.78,4.49,1.77,3.12,2.35,4.09,2.14,1.88,2.36,2.82,0.41,2.58,,,,,,,,
July,,2.94,2.28,,2.42,2.35,3.79,4.84,3.02,1.31,2.78,5.28,4.78,2.07,1.68,2.86,4.9,6.21,0.15,1.11,2.36,4.47,5.13,3.66,1.79,4.3,3.12,4.69,0.54,4.38,5.66,4.35,6.23,3.24,3.46,1.69,3.34,1.04,5.34,2.89,3.36,3.4,3.3,3.16,2.99,6.34,1.84,2.54,1.26,1.47,3.46,2.2,2.71,2.58,1.45,1.8,2.8,2.8,3.81,5.59,4.13,0.2,3.14,1.48,3.73,4.24,2.01,2.56,5.25,2.52,7.01,1.44,4.77,,,,,,,,
August,,2.2,,,3.3,2.53,7.23,13,3.55,6.45,5.12,2.67,2.7,5.56,2.7,3.93,5.39,2.76,2.37,2.48,2.26,1.21,3.62,3.99,3.17,4.76,3.64,7.31,3.54,6.2,3.2,4.73,3.8,3.46,3.82,1.52,2.01,1.94,3.33,5.63,4.91,7.17,4.24,2.87,4.75,3.49,2.74,3.15,4.91,1.89,4.03,1.44,2.49,3.45,3.94,4.05,2.94,3.76,3.36,2.94,4.21,3.58,5.98,2.36,2.98,4.28,3,5.12,3.44,3.21,2.09,5.34,4.74,,,,,,,,
September,,1.28,1.5,,1.5,0.72,,0.96,2.94,4.67,2.76,3.96,5.57,5.1,4.78,0.58,6.16,2.94,1.79,6.35,2.94,3.81,8.27,2.36,4.44,3.34,3.98,2.29,2.49,2.74,5.79,3.31,3.03,5.59,3.12,3.8,2.74,3.5,1.7,3.46,1.02,3.95,3.05,4.23,0.76,1.26,6.55,3.64,0.28,5.48,1.17,0.41,0.9,3.42,0.96,3.07,1.19,0.43,4.67,2.74,0.19,3.8,2,1.16,2.73,0.71,2.63,2.42,8.8,2.26,2.64,1.12,3.95,,,,,,,,
October,,1.13,2.51,1.76,2.51,5.22,2.78,1.44,3.59,1.76,4.26,0.98,5.39,5.97,2.33,5.13,2.66,4.24,5.35,3.53,8.43,3.71,5.28,4.21,3.41,5.26,2.18,3.92,2.57,3.53,4.06,3.81,3.72,6.05,2.8,7.65,5.82,2.36,1.55,3.71,2.79,5.12,6.83,2.95,4.07,3.53,4.79,1.64,2.89,3.04,3.43,2.76,4.41,6.4,1.32,3.1,4.75,3.85,0.99,4.65,2.18,2,2.41,1.63,1.71,1.44,4.47,5.43,1.76,2.81,1.17,2.51,0.79,,,,,,,,
