WEOBLY SCHOOL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,SO405511,Long,-2.8711134,Lat,52.154957,Elevation,320,ft,,,,,,,,,,,,,,,,,,,,,,,
Station no,2238,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940
January,,,,,0.52,2.54,1.25,1.18,2.66,3.51,3.42,2.6,3.99,1.28,3.37,2.71,4.13,3.88,4.5,1.21,5.27,1.62,3.06,1.86,2.67,2.27,,,,,
February,,,,,2.77,5.06,5.22,1.01,1.14,2.68,1.14,0.2,3.25,7.6,0.49,4.69,2.37,2.62,2.26,0.96,0.72,1.94,0.17,4.06,0.25,,,,,,
March,,,,,2.89,0.72,4.17,3.53,1.68,4.84,3.78,1.98,2.37,1.05,1.34,0.59,0.49,2.68,3.25,0.19,2.86,0.81,1.59,2.35,2.64,,,,,,
April,,,,,1.13,0.91,0.7,1.92,2.35,1.41,5.08,0.85,2.33,2.17,3.07,1.94,2.27,1.3,1.38,0.52,2.89,3.21,3.6,0.94,2.36,,,,,,
May,,,,,1.41,4.06,4.17,3.53,2.49,0.22,2.02,0.8,0.88,1.47,4.94,4.15,2.27,1.36,0.77,2.57,2.04,4.25,5.63,1.56,1.24,,,,,,
June,,,,0.85,2.05,0.83,1.17,3.51,0.48,0.88,3.22,0.26,0.86,0.44,2.74,0,1.41,2.99,3.57,3.04,1.11,4.19,0.85,1.65,1.54,,,,,,
July,,,,,4.18,4.99,1.65,2.61,3.36,1.71,5,0.71,3.11,2.35,5.05,2.31,1.89,2.67,1.75,1.76,2.99,3.39,1.99,1.28,1.17,,,,,,
August,,,,,2.38,3.43,2.08,6.99,1.94,2.63,0.89,2.84,3.25,2.54,3.07,3.38,2.29,5.62,2.41,0.98,3.33,3.89,2.92,1.02,2.79,,,,,,
September,,,,,1.16,0.57,0.74,1.85,6.62,1.68,2.42,0.87,1.68,1.66,4.39,3.36,1.29,3.42,1.5,1.37,3.78,1.69,2.59,1.31,1.81,,,,,,
October,,,,4.15,2.59,4.37,4.76,2.83,1.59,1.42,3.71,1.58,0.84,4.64,4.34,3.46,3.34,2.21,5.03,4.73,2.78,0.67,5.51,6.02,1.84,,,,,,
November,,,,,3.19,2.3,2.82,0.88,2.04,1.34,1.38,2.37,1.29,1.36,3.18,2.03,6.58,3.39,3.76,7.57,2.81,5.82,2.57,0.71,1.81,,,,,,
December,,,,1.23,6.01,6.08,1.97,0.85,2.79,3.32,2.9,1.7,4.45,1.75,3.04,2.32,0.68,2.84,2.37,6.98,3.88,1.02,1.71,0.7,5.29,,,,,,
Total,,,,,30.28,35.86,30.7,30.69,29.14,25.64,34.96,16.76,28.3,28.31,39.02,30.94,29.01,34.98,32.55,31.88,34.46,32.5,32.19,23.46,25.41,,,,,,
