"MELROSE (BOWDEN, KIPPILAW)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,NT549287,Long,-2.716387,Lat,55.549903,Elevation,500,ft,,,,,,,,,,,,,,,,,,,,,,
Station no,5051/5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960
January,,,,2.14,1.53,4.2,2.88,3.85,5.88,1.08,2.2,4.26,3.81,1.87,4.14,2.66,2.22,6.31,1.61,1.73,2.93,2.72,0.39,,,,,,,
February,,,,0.09,1.77,2.94,2.9,0.92,1.97,1.13,3.51,1.92,1.51,1.61,3.06,0.98,1.18,2.29,1.45,3.34,2.19,0.55,0.71,,,,,,,
March,,,,2.86,1.16,2,2.29,0.74,3.24,3.1,2.72,1.21,1.34,0.62,1.23,1.86,3.8,1.05,1.03,2.05,2.6,1.06,0.48,,,,,,,
April,,,,3.18,2.89,1.06,1.47,0.28,1.43,1.93,1.59,1.22,1.43,2.06,1.14,0.46,4.69,2.43,1.47,2.07,2.44,1.86,2.27,,,,,,,
May,,,,1.84,1.01,1.07,3.72,2.81,0.89,1.75,2.28,2.43,4.77,2.33,4.67,1.74,3.14,1.64,2.4,1.17,2.46,2.1,2.27,,,,,,,
June,,,,2.19,4.21,2.18,1.85,2.7,2.35,1.14,2.17,1.31,2.47,2.13,2.41,2.37,2.75,3.76,1.01,1.6,1.49,2.64,1.32,,,,,,,
July,,,,1.83,0.99,3.73,3.32,3.5,3.15,6.77,2.52,1.94,2.65,2.85,2.18,2,3.98,1.38,2.45,3.16,4.1,1.21,4.02,,,,,,,
August,,,,3.1,2.83,1.51,4.8,2.1,1.11,0.89,4.24,1.7,4.08,2.14,1.77,4.18,0.19,8.11,2.43,3.39,2.64,3.04,2.38,,,,,,,
September,,,,2.41,3.23,4.01,1.93,2.24,1.99,2.76,0.77,2.48,2.12,6.95,3.12,2.26,1.45,2.69,0.97,4.4,1.84,1.57,2.92,,,,,,,
October,,,,5.06,5.18,3.08,3.15,5.35,3.05,2.86,3.56,2.36,3.68,3.07,4.45,0.24,0.69,2.25,5.19,1.24,0.25,3.32,,,,,,,,
November,,,,1.94,3.33,3.73,0.54,5.73,4.27,3.36,3.31,0.63,1.43,6.82,0.63,4.69,2.84,1.71,2.56,3.02,5.21,3.46,,,,,,,,
December,,,,3.17,1.22,2.78,4.13,3.63,1.11,3.17,0.91,1.98,1.2,3.38,1.98,2.54,1.65,2.92,3.35,1.17,2.14,3.32,,,,,,,,
Total,,,,29.81,29.35,32.29,32.98,33.85,30.44,29.94,29.78,23.44,30.49,35.83,30.78,25.98,28.58,36.54,25.92,28.34,30.29,26.85,,,,,,,,
