READING-PORTLAND-PLACE-8-INCH-GAUGE,,,,,,,,,,,,,,,,,,,,
Grid ref,SU721729,Long,-0.96381749,Lat,51.450504,Elevation,142,ft.,,,,,,,,,,,,
Station no,RR7827,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899
January,,,,,,,3.46,2.71,1.12,1.05,3.22,2.04,0.67,1.75,2.78,2.69,0.54,,,
February,,,,,,,0.7,0.94,1.27,2.25,0.86,0.08,1.41,3.37,1.8,0.17,0.47,,,
March,,,,,,,1.6,2.19,3.85,2.08,1.6,2.05,1.01,0.27,1.34,1.65,3.39,,,
April,,,,,,,1.75,1.16,2.02,2.4,1.98,1.01,0.89,0.07,1.76,1.44,0.71,,,
May,,,,,,,4.59,1.48,1.31,3.07,2.17,3.06,1.18,1.22,1.75,0.4,0.27,,,
June,,,,,,,0.86,1.47,2.36,1.3,3.1,1.14,1.42,0.62,2.54,0.42,2.84,,,
July,,,,,,,2.72,1.45,6.4,1.81,5.02,,3.08,3.03,3.34,3.45,0.53,,,
August,,,,,,,0.99,1.62,1.98,2.16,2.91,,3.45,1.85,3.5,2.81,2.49,,,
September,,,,,,,1.99,2.48,1.53,1.58,1.18,,2.99,0.95,2.47,1.33,6.85,,,
October,,,,,,,3.9,1.95,1.48,3.94,1.32,,4,2.84,4.87,3.18,2.78,,,
November,,,,,,,4.58,3.54,4.62,0.98,2.55,,2.21,2.26,4.72,4.54,,,,
December,,,,,,,5.6,1.82,2.04,1.38,0.92,,1.32,2.74,2.5,2.54,,,,
Total,,,,,,,32.74,22.81,29.98,24,26.83,,23.63,20.97,33.37,24.62,,,,
,,,,,,,,,,,,,,,,,,,,
"NGR is Portland Place, 16 to 22 London Road.",,,,,,,,,,,,,,,,,,,,
"Stated altitude is 20 ft. too low, OS figure used",,,,,,,,,,,,,,,,,,,,
