"MEPAL ENGINE",,,,,,,,,,,,
Grid ref,TL439812,Long,0.114133,Lat,52.409884,,,,,,,
Station no,RR4833,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,2.25,0.33,0.26,,,0.55,2.14,0.89,,0.39,,
February,1.49,0.30,1.04,,,0.49,0.85,0.56,0.50,0.07,,
March,0.49,1.11,0.64,,,0.91,0.70,0.57,1.95,1.88,,
April,0.73,1.36,0.66,,,0.61,0.33,1.24,1.31,0.84,,
May,0.68,0.78,2.17,,,1.62,0.75,2.43,0.73,1.46,,
June,1.45,1.02,1.62,,,2.28,2.98,0.70,0.97,4.37,,
July,1.01,1.09,1.44,,,0.80,0.49,1.57,3.02,3.27,,
August,2.03,1.44,2.31,,,2.18,0.57,1.40,1.66,1.38,,
September,0.20,0.75,0.70,,,2.24,0.45,0.46,1.35,1.43,,
October,1.39,1.85,0.95,,,0.91,2.54,2.05,0.94,2.16,,
November,1.71,0.65,1.46,,,1.07,2.73,2.04,0.64,0.12,,
December,2.06,1.50,,,,0.64,0.83,2.00,0.95,3.31,,
Total,15.49,12.18,,,,14.30,15.36,15.91,,20.68,,
Calc annual,15.49,12.18,13.25,0.00,0.00,14.30,15.36,15.91,14.02,20.68,,
Difference,0.00,0.00,NaN,NaN,NaN,0.00,-0.00,0.00,NaN,0.00,,
