BARRHEAD (SEWAGE WORKS),,,,,,,,,,
Grid ref,NS511601,Long,-4.377627,Lat,55.811144,Elevation,97,ft,,
Station no,5284/5,,,,,,,,,
,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960
January,,5.18,2.2,5.27,3.4,3.03,7,5.95,1.65,4.23
February,,1.51,1.91,3.96,3.09,1.36,3.02,2.88,2,4.42
March,,2.88,1.09,2.78,2.07,2.35,4.75,1.24,2.14,1.77
April,,1.97,1.49,1.66,2,1.45,2.46,1.23,3.46,3.76
May,,1.83,2.1,3.11,3.65,2.91,2.72,3.14,1.26,2.39
June,,3,1.38,3.16,2.07,2.82,2.28,3.44,3.47,2.57
July,,1.84,5.89,2.71,1.11,4.37,3.79,5.26,4.6,3.19
August,,3.51,3.07,5.49,0.86,4.96,4.23,3.99,0.8,3.46
September,,3.43,3.99,5.03,4.12,4.69,2.94,4.24,0.97,3.03
October,,4.84,2.76,9.55,2.84,3.9,5.14,3.75,5.55,2.86
November,,1.95,7.22,7.11,1.67,1.68,1.91,1.76,5.26,5.72
December,,4.62,5.24,6.01,7.57,6.33,5.09,6.44,8.1,6.33
Total,,36.56,38.34,55.84,34.45,39.85,45.33,43.32,39.26,43.73
,,,,,,,,,,
G move 1952,,,,,,,,,,
,,,,,,,,,,
Station no,5284/5,,,,,,,,,
Midas,969,,,,,,,,,
Hyd Stn,661011,,,,,,,,,
