BARRHEAD (SEWAGE WORKS),,,,,,,,,,,,
Grid ref,NS511601,Long,-4.377627,Lat,55.811144,,,,,,,
Station no,5284/5,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,5.71,5.18,2.20,5.27,3.40,3.03,7.00,5.95,1.65,4.23,,
February,2.98,1.51,1.91,3.96,3.09,1.36,3.02,2.88,2.00,4.42,,
March,3.47,2.88,1.09,2.78,2.07,2.35,4.75,1.24,2.14,1.77,,
April,3.27,1.97,1.49,1.66,2.00,1.45,2.46,1.23,3.46,3.76,,
May,1.84,1.83,2.10,3.11,3.65,2.91,2.72,3.14,1.26,2.39,,
June,2.45,3.00,1.38,3.16,2.07,2.82,2.28,3.44,3.47,2.57,,
July,2.76,1.84,5.89,2.71,1.11,4.37,3.79,5.26,4.60,3.19,,
August,5.27,3.51,3.07,5.49,0.86,4.96,4.23,3.99,0.80,3.46,,
September,3.02,3.43,3.99,5.03,4.12,4.69,2.94,4.24,0.97,3.03,,
October,0.82,4.84,2.76,9.55,2.84,3.90,5.14,3.75,5.55,2.86,,
November,6.57,1.95,7.22,7.11,1.67,1.68,1.91,1.76,5.26,5.72,,
December,7.37,4.62,5.24,6.01,7.57,6.33,5.09,6.44,8.10,6.33,,
Total,45.53,36.56,38.34,55.84,34.45,39.85,45.33,43.32,39.26,43.73,,
Calc annual,45.53,36.56,38.34,55.84,34.45,39.85,45.33,43.32,39.26,43.73,,
Difference,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-0.00,,
