BARRHEAD (SEWAGE WORKS),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,NS 51096 59791,Long,-4.377518,Lat,55.808365,Elevation,100,ft,,,,,,,,,,,,,,,,,,,,,,
Station no,5284/5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960
January,,,,,,,,,5.07,1.73,1,5.09,3.98,4.96,3.36,6.73,4.35,6.84,5.57,3.55,5.71,,,,,,,,,
February,,,,,,,,,7.1,1.84,4.39,1.63,6.82,1.86,7.57,3.59,1.43,5.18,5.35,4.56,2.98,,,,,,,,,
March,,,,,,,,,4.3,5.66,3.75,2.88,2.78,0.63,3.49,2.7,3.74,4.35,1.43,2.84,3.47,,,,,,,,,
April,,,,,,,,,2.1,2.7,2.15,2.75,2.45,2.76,2.17,1.81,7.49,3.3,4.92,3.38,3.27,,,,,,,,,
May,,,,,,,,,0.81,0.6,3.34,2.87,3.26,3.06,5.98,1.27,4.29,1.04,2.07,1.29,1.84,,,,,,,,,
June,,,,,,,,,2.17,0.97,0.73,2.11,2.47,4.21,4,2.33,2.57,5.78,0.79,1.74,2.45,,,,,,,,,
July,,,,,,,,,3.85,4.54,3.2,2.36,2.82,2.78,3.38,3.42,3.54,3.32,1.7,6.5,2.76,,,,,,,,,
August,,,,,,,,,1.98,2.15,4.6,5.22,5.85,3.9,1.84,2.46,0,6.24,4.35,5.02,5.27,,,,,,,,,
September,,,,,,,,,1.62,4.09,1.73,6.28,2.66,4.66,4.39,6.97,5.66,6.38,1.98,8.36,3.02,,,,,,,,,
October,,,,,,,,,2.66,5.65,4.54,5.54,6.99,5.45,6.57,0.47,2.13,5.36,5.8,3.71,0.82,,,,,,,,,
November,,,,,,,,,9.36,9.04,3.77,1.02,2.32,7.89,0.29,5.77,6.92,3.66,4.53,3.37,6.57,,,,,,,,,
December,,,,,,,,,4.39,5.58,3.88,6.44,2.82,4.79,3.58,4.75,2.57,5.55,8.97,1.48,7.37,,,,,,,,,
Total,,,,,,,,,45.41,44.55,37.08,44.19,45.22,46.95,46.62,42.27,44.69,57,47.46,45.8,45.53,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BR 1949 NP Low,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
G move 1952,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Station no,5284/5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Midas,969,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hyd Stn,661011,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
