"EDENBRIDGE (PUMPING STATION)",,,,,,,,,,,,
Grid ref,TQ452468,Long,0.076963,Lat,51.201967,,,,,,,
Station no,339/5,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,,,,,,,1.70,3.00,2.50,3.03,,
February,,,,,,,4.17,2.09,0.05,2.12,,
March,,,,,,,1.20,1.59,2.02,1.82,,
April,,,,,,,0.27,1.21,2.17,0.61,,
May,,,,,,,1.80,1.68,0.75,1.69,,
June,,,,,,,1.15,4.57,1.18,1.52,,
July,,,,,,,3.62,2.27,1.57,3.45,,
August,,,,,,,2.84,3.53,0.79,4.41,,
September,,,,,,,2.97,6.62,0.13,2.64,,
October,,,,,,,1.37,2.75,3.19,7.74,,
November,,,,,,,4.37,1.70,3.14,5.74,,
December,,,,,,,2.29,3.81,5.39,3.68,,
Total,,,,,,,27.75,34.82,22.88,38.45,,
Calc annual,0.00,0.00,0.00,0.00,0.00,0.00,27.75,34.82,22.88,38.45,,
Difference,NaN,NaN,NaN,NaN,NaN,NaN,0.00,0.00,-0.00,0.00,,
