PAPA WESTRAY,,,,,,,,,,
Grid ref,HY492515,Long,-2.893913,Lat,59.347124,Elevation,48,ft,,
Station no,RR14,,,,,,,,,
,,,,,,,,,,
,1866,1867,1868,1869,1870,1871,1872,1873,1874,1875
January,4.63,5.4,4.25,3.07,2.54,2.76,4.4,4.99,5.31,5.32
February,4.03,3.74,4.86,3,1.92,4.25,2.69,1.09,1.47,1.56
March,2.83,1.15,3.45,2.15,0.86,2.21,2.1,3.09,3.09,0.61
April,1.18,4.14,3.2,3.17,2.5,1.68,1.36,1.81,2.46,3.05
May,2.09,1.25,1.64,1.14,1.95,0.75,1.59,1.03,0.8,2.03
June,1.86,1.22,2.03,0.82,1.42,0.41,3.44,1.43,1.78,2.42
July,1.09,1.04,1.61,2.16,0.63,1.9,2.26,2.64,1.68,2.71
August,2.86,2.3,5.84,2.59,1.11,3.83,2.74,2.84,3.56,4.51
September,2.81,4.43,1.58,5.39,2.4,3.47,4.27,2.2,7.56,3.29
October,1.83,5.73,4.81,2.33,2.03,2.83,5.51,5.87,2.91,2.08
November,6.34,1.34,2.23,5.12,3.13,4.7,3.77,3.73,4.34,4.75
December,5.76,4.32,4.82,3.86,3.85,3.68,5.4,4.81,3.59,3.55
Total,37.31,36.06,40.32,34.8,24.34,32.47,39.53,35.53,38.55,35.88
