RAINFORD (ROOKERY SEWAGE WORKS),,,,,,,,,,,,
Grid ref,SJ485999,Long,-2.777721,Lat,53.493271,,,,,,,
Station no,2825/3,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,2.87,3.64,1.72,3.43,2.42,4.51,1.98,2.79,2.73,5.12,,
February,2.43,1.39,1.09,3.23,2.51,0.52,2.29,5.64,0.42,1.73,,
March,4.59,1.99,1.43,2.33,2.10,1.05,1.70,1.58,1.40,1.95,,
April,1.79,2.85,3.18,0.93,2.20,3.01,0.41,0.92,2.97,1.67,,
May,3.22,2.52,2.40,2.39,3.27,1.23,1.66,3.75,1.73,2.58,,
June,1.16,2.72,1.75,2.95,3.57,1.67,1.57,4.68,2.41,1.75,,
July,2.20,1.76,3.70,4.89,0.91,5.83,4.62,4.27,3.20,5.36,,
August,5.11,3.68,3.75,4.27,1.50,9.56,5.50,3.53,0.78,4.79,,
September,2.63,3.46,4.94,4.64,2.82,2.97,5.86,4.06,0.26,3.54,,
October,0.87,5.05,1.81,6.38,2.71,2.65,4.15,3.35,3.03,3.84,,
November,8.29,2.37,3.49,6.47,1.91,1.94,1.79,1.46,5.50,5.95,,
December,6.36,3.13,1.06,4.00,4.56,2.43,3.60,4.01,5.80,3.77,,
Total,41.52,34.56,30.32,45.91,30.48,37.37,35.13,40.04,30.23,42.05,,
Calc annual,41.52,34.56,30.32,45.91,30.48,37.37,35.13,40.04,30.23,42.05,,
Difference,0.00,0.00,0.00,-0.00,0.00,0.00,0.00,0.00,0.00,-0.00,,
