RAINFORD (ROOKERY SEWAGE WORKS),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,SJ485999,Long,-2.777721,Lat,53.493271,Elevation,107,ft,,,,,,,,,,,,,,,,,,,,,,
Station no,2825/3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960
January,,,,,,,,3.38,4.71,2.23,2.39,3.6,3.88,4.24,1.92,4.04,3.27,6.89,2.66,1.53,2.87,3.64,1.72,3.43,2.42,4.51,1.98,2.79,2.73,5.12
February,,,,,,,,0.94,2.93,2.36,3.3,1.26,2.3,1.44,3.05,4.85,0.56,2.04,1.45,4.52,2.43,1.39,1.09,3.23,2.51,0.52,2.29,5.64,0.42,1.73
March,,,,,,,,1.11,1.76,2.46,2.68,2.74,0.92,0.96,1.17,0.84,4.63,0.99,2.69,1.29,4.59,1.99,1.43,2.33,2.1,1.05,1.7,1.58,1.4,1.95
April,,,,,,,,0.29,1.98,2.39,1.76,1.94,1.69,2.47,1.82,0.81,2.97,1.52,2.32,3.22,1.79,2.85,3.18,0.93,2.2,3.01,0.41,0.92,2.97,1.67
May,,,,,,,,3.43,1.27,2.05,1.88,3.55,2.54,2.47,3.47,1.75,2.43,1.47,3.02,0.97,3.22,2.52,2.4,2.39,3.27,1.23,1.66,3.75,1.73,2.58
June,,,,,,,,3.34,3.37,0.78,0.74,0.51,2.43,2.32,3.58,3.84,2.72,3.54,0.74,2.32,1.16,2.72,1.75,2.95,3.57,1.67,1.57,4.68,2.41,1.75
July,,,,,,,,3.57,4.49,3.21,1.43,3.55,3.17,2.66,3.01,3.99,2.81,2.22,3.24,2.79,2.2,1.76,3.7,4.89,0.91,5.83,4.62,4.27,3.2,5.36
August,,,,,,,,4.02,2.58,1.26,6.21,4.54,4.69,2.85,2.65,6.3,0.17,4.89,2.25,7.65,5.11,3.68,3.75,4.27,1.5,9.56,5.5,3.53,0.78,4.79
September,,,,,,,,1.43,1.06,3.1,1.27,2.69,3.85,4.54,2.21,4.97,2.47,1.98,1.51,5.66,2.63,3.46,4.94,4.64,2.82,2.97,5.86,4.06,0.26,3.54
October,,,,,,,,7.29,1.87,3.94,4.05,4.34,3.94,3.99,5.32,0.61,0.74,2.77,3.97,2.67,0.87,5.05,1.81,6.38,2.71,2.65,4.15,3.35,3.03,3.84
November,,,,,,,,3.89,4.86,5.95,2.15,1.01,2.24,6.5,0.3,4.84,3.62,2.11,4.61,5.04,8.29,2.37,3.49,6.47,1.91,1.94,1.79,1.46,5.5,5.95
December,,,,,,,,3.62,4.06,2.75,1.23,3.74,1.82,2.33,2.91,2.99,2.92,3.07,5.23,3.57,6.36,3.13,1.06,4,4.56,2.43,3.6,4.01,5.8,3.77
Total,,,,,,,,36.31,34.94,32.48,29.09,33.47,33.47,36.77,31.41,39.83,29.31,33.49,33.69,41.23,41.52,34.56,30.32,45.91,30.48,37.37,35.13,40.04,30.23,42.05
