PENCOED-SENIOR-SCHOOL,,,,,,,,,,,,,,,,,,,,
Grid ref,SS961820,Long,-3.4991266,Lat,51.527321,Elevation,150,ft,,,,,,,,,,,,
Station no,4064/5,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950
January,,5.15,2.97,5.12,1.27,5.66,5.82,5.59,4.37,,,,,,,,,,,
February,,0,5.92,0.71,4.47,2.29,6.17,2.43,3.24,,,,,,,,,,,
March,,2.03,3.37,2.65,1.12,3.33,4.26,,2.13,,,,,,,,,,,
April,,3.73,2.68,2.89,5.7,2.14,3.38,,2.06,,,,,,,,,,,
May,,5.37,1.67,1.94,1.85,1.57,1.6,,,,,5.72,,,,,,,,
June,,1.9,2,2.4,3.74,3.11,0.99,2.04,,,,,,,,,,,,
July,,4.61,3.5,0.82,0.74,8.52,3.82,,,,,,,,,,,,,
August,,1.36,1.5,6.21,2.05,1.24,,,,,,,,,,,,,,
September,2.35,6.68,2.01,3.79,8.08,4.15,2.67,,,,,3.2,,,,,,,,
October,1.5,8.96,5.89,4.86,6.91,2.72,3.14,,,,,6.26,,,,,,,,
November,6.5,2.13,1.36,2.25,7.03,5.5,3.12,,,,,,,,,,,,,
December,1.37,2.52,2.16,12.22,3.97,4.55,3.37,4.57,,,,,,,,,,,,
Total,,44.44,35.03,45.86,46.93,44.78,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
1937 Aug estimated,,,,,,,,,,,,,,,,,,,,
"1938 Mar-May, Jul-Nov estimated",,,,,,,,,,,,,,,,,,,,
"1942 Jan-Apr, Jun-Aug, Nov Dec estimated",,,,,,,,,,,,,,,,,,,,
