FORT WILLIAM ATHOLL BANK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,NN103738,Long,-5.109635,Lat,56.816887,Elevation,171,ft,,,,,,,,,,,,,,,,,,,,,,,
Station no,5751,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930
January,,,,,,,16.19,7.7,11.02,12.25,13,7.64,5.91,6.41,11.11,10.18,15.19,4.08,8.55,5.22,15.86,16.85,5.46,12.64,,,,,,,
February,,,,,,,5.45,9.16,7.95,3.7,10.05,12.45,4.92,7.43,12.18,7.26,10.44,1.68,13.14,0.64,19.11,3.79,10.81,6.33,,,,,,,
March,,,,,,,7.81,8.16,7.83,0.3,4.56,4.58,7.56,12.17,5.49,5.3,2.14,3.71,2.41,3.95,9.84,14.94,4.4,2.67,,,,,,,
April,,,,,,,4.2,3.77,2.44,3.97,8.03,6.53,7.17,5.42,7.02,7.64,5.47,2.53,1.34,7.77,3.15,2.27,2.54,3.85,,,,,,,
May,,,,,,,4.65,5.23,4.31,4.57,4.66,6.05,2.79,5.37,3.28,1.05,4.27,1.98,3.22,1.39,6.7,6.06,11.86,4.19,,,,,,,
June,,,,,,,1.26,6.21,4.79,0.86,1.08,3.29,5.54,6.74,2.72,1.5,1.84,4.18,3.83,6.6,3.28,1.25,4,,,,,,,,
July,,,,,,,8.08,2.25,3.9,6.16,4.99,5.24,3.48,0.9,1.8,4.18,2.91,2.04,4.65,1.56,6.2,5.71,5.18,,,,,,,,
August,,,,,,,5.93,10.59,6.7,5.03,7.13,7.15,2.98,2.59,6.99,3.18,4.23,6.11,5.69,5.57,5.75,5.12,4.63,,,,,,,,
September,,,,,,,5.46,3.26,8.3,2.88,2.16,6.74,4.14,2.69,5.04,2.3,2.53,9.06,7.88,7.9,4.76,5.49,3.54,,,,,,,,
October,,,,,,5.24,8.87,3.55,2.17,12.32,4.75,3.84,8.88,6.55,1.86,3.4,16.2,12.97,11.33,3.22,3.03,10.78,4.92,,,,,,,,
November,,,,,,6.15,7.29,6.32,6.44,6.92,3.13,11.25,8.97,14.38,13.18,2.51,11.79,14.51,8.95,6.69,9.65,2.85,6.27,,,,,,,,
December,,,,,,8.41,8.69,8.97,10.47,7.92,5.56,10.14,20.81,9.54,14.04,6.12,6.12,5.45,7.72,7.96,6.57,15.4,9.68,,,,,,,,
Total,,,,,,,83.88,75.17,76.32,66.88,69.1,84.9,83.15,80.19,84.71,54.62,83.13,68.3,78.71,58.47,93.9,90.51,73.29,,,,,,,,
