SHERBORNE (WATERWORKS),,,,,,,,,,,,
Grid ref,ST646169,Long,-2.505314,Lat,50.950438,,,,,,,
Station no,1547/1,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,,,0.89,1.78,3.18,3.94,2.33,2.76,4.71,3.45,,
February,,,1.69,3.06,2.49,0.14,3.84,4.00,0.29,3.56,,
March,,,0.62,3.60,1.43,0.79,2.12,0.75,4.04,2.35,,
April,,,2.71,0.20,0.94,1.35,0.41,0.64,2.69,2.14,,
May,,,1.87,1.99,4.11,0.56,1.34,2.14,1.43,1.12,,
June,,,3.03,3.33,2.26,2.07,1.15,4.07,0.74,1.88,,
July,,,3.23,3.06,2.47,1.92,4.49,1.79,1.29,3.08,,
August,,,2.01,2.52,0.73,4.08,2.70,2.33,1.08,5.67,,
September,,,3.58,2.81,1.55,4.82,3.27,5.09,0.14,4.21,,
October,,,3.47,2.42,2.21,2.05,2.23,2.92,3.22,8.70,,
November,,,1.27,6.26,3.45,0.83,2.19,3.26,4.20,4.11,,
December,,,0.82,2.96,5.08,4.62,2.92,4.37,7.51,3.92,,
Total,,,25.19,33.99,29.90,27.17,28.99,34.12,31.34,44.19,,
Calc annual,0.00,0.00,25.19,33.99,29.90,27.17,28.99,34.12,31.34,44.19,,
Difference,NaN,NaN,0.00,0.00,0.00,0.00,-0.00,0.00,0.00,0.00,,
