STORNOWAY CASTLE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,NB 419 331,Long,-6.395034,Lat,58.211325,Elevation,90,ft,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Station no,RR295,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1850,1851,1852,1853,1854,1855,1856,1857,1858,1859,1860,1861,1862,1863,1864,1865,1866,1867,1868,1869,1870,1871,1872,1873,1874,1875,1876,1877,1878,1879,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889
January,,,,,,,2.06,4.74,6.61,5.43,2.77,2.85,5.57,9.01,4.33,4,5.92,3.23,5.81,5.11,4.13,5.98,14.69,8.81,7.82,8.23,6.67,5.86,5.83,2.56,4.2,2.87,,3.29,8.32,,2.91,,,
February,,,,,,,3.62,5.71,2.22,3.61,1.95,5.39,1.79,5.74,4.81,3.22,5.5,4.21,10.3,6.31,2.54,5.16,5.64,1.92,2.26,2.68,5.44,7.09,2.27,1.94,5.86,5.04,,5.22,,,2,,,
March,,,,,,,0.17,4.75,2.78,6.16,5.8,7.65,2.17,2.95,5.36,2.86,2.35,1.94,7.32,3.41,3.14,7.2,5.59,2.26,5.95,1.39,6.58,3.56,5.09,4.49,1.97,4.02,,3.3,,,2.5,,,
April,,,,,,1.5,1.59,1.77,0.62,3.12,2.7,0.91,4.8,6.01,2.54,1.38,1.07,6.44,2.83,2.5,4.44,2.23,4.99,1.87,4.03,2.21,4.21,1.98,1.55,1.3,3.54,1.34,,0.62,,,2.3,,,
May,,,,,,0.5,0.97,2.39,2.72,0.55,4.1,2.67,3.38,2.58,2.42,1.5,1.68,1.17,4.9,3.82,3.53,2.33,4.92,2.21,2.38,4.16,1.81,3.58,2.83,2.24,2.66,2.6,,2.49,,,1.45,,,
June,,,,,,2.3,6.13,1.62,3.3,3.21,2.44,2.08,4.76,3.26,4.2,0.93,1.15,2.38,5.33,2.06,1.66,1.27,5.5,3.14,4.32,3.19,4.47,5.76,2.85,1.38,2.17,4.07,2.87,1.49,,,,,,
July,,,,,,1.8,5.85,3.57,4.4,2.69,1.46,4.56,4.11,0.89,2.08,1.28,1.4,2.11,2.4,3.98,3.02,6.89,4.2,4.13,3.19,2.83,2.57,4.49,2.07,3.71,1.9,4.42,3.24,2.63,,,2.5,,,
August,,,,,,3.2,2.26,2.95,1.79,3.46,5.03,8.14,3.26,4.38,2.31,1.7,3.6,4.07,6.96,2.95,1.49,5.62,3.19,6.07,4.9,4.24,2.82,2.98,2.54,6.41,1.28,4.17,2.87,3.9,5.24,,,,,
September,,,,,,1.5,2.4,4.5,4.98,4.74,3.98,6.33,2.85,6.7,5.19,2.7,6.16,3.58,1.94,7.49,5.23,3.65,6.17,4.34,6.31,2.24,2.61,2.24,6.05,6.38,4.76,2.06,2.5,3.08,,,5.49,,,
October,,,,,,3.18,1.43,3.87,3.71,2.64,8.8,3.92,8.8,4.13,3.77,3.27,2.38,4.92,5.47,2.9,5.21,8.24,9.31,6.77,10.2,3.97,5.86,7.71,6.58,3.72,5.79,3,4.24,6.83,,,,,,
November,,,,,,2.23,3.71,3.78,2,3.18,2.35,7.61,5.13,4.97,1.88,2.58,6.82,2.3,3.17,6.62,5.66,5.83,7.13,4.08,5.86,4.96,3.25,8.84,4.89,3.83,6.93,6.46,5.11,7.21,7.68,,,,,
December,,,,,,4.92,5.5,6.19,4.42,4.06,2.77,5.95,7.88,7.71,4.93,4.96,8.42,6.82,5.21,6.43,4.44,8.45,5.47,6.14,4.82,5.09,2.88,7.38,6.93,5.72,6.29,6.56,2.55,,,,4.6,,,
Total,,,,,,,35.69,45.84,39.55,42.85,44.15,58.06,54.5,,43.82,30.38,46.45,43.17,61.64,53.58,44.49,62.85,76.8,51.74,62.04,45.19,49.17,61.47,49.48,43.68,47.35,46.61,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hyd Stn No 89-727487,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
from 12th August 1867 to Decr 1874,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
a wrong measuring glass was used,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
the amounts above are correct,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
