STORNOWAY LEWIS CASTLE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,NB 419 331,Long,-6.395034,Lat,58.211325,Elevation,90,ft,,,,,,,,,,,,,,,,,,,,,,
Station no,RR295,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1850,1851,1852,1853,1854,1855,1856,1857,1858,1859,1860,1861,1862,1863,1864,1865,1866,1867,1868,1869,1870,1871,1872,1873,1874,1875,1876,1877,1878,1879
January,,,,,,,2.06,3.49,4.15,5.43,2.79,2.85,5.57,9.01,4.33,4,5.87,2.42,2.42,1.92,1.72,2.49,6.12,,,,,,,
February,,,,,,,3.62,3.15,1.55,3.61,2.15,5.39,1.79,5.74,4.81,2.5,3.95,4.21,4.29,2.63,1.06,2.15,2.35,,,,,,,
March,,,,,,,0.17,2.44,2.16,6.16,5.8,7.61,2.17,2.95,3.83,3.03,2.35,1.96,3.05,1.42,1.31,3,2.33,,,,,,,
April,,,,,,,0.87,1.04,0.83,3.12,2.6,0.91,3.8,,2.54,1.38,1.07,6.54,1.18,1.7,1.85,0.93,2.08,,,,,,,
May,,,,,,,0.97,1.71,2.49,0.55,4.1,2.72,3.36,,2.42,2.1,1.68,1.17,2.08,0.59,1.47,0.97,2.05,,,,,,,
June,,,,,,,6.13,1.32,2.68,2.21,2.44,2.08,5.16,,4.2,0.93,1.13,2.42,2.22,0.81,0.68,0.53,2.29,,,,,,,
July,,,,,,,5.85,3.65,3.51,3.44,1.46,4.56,4.11,0.89,2.08,1.28,1.3,2.11,1.15,1.66,1.26,2.87,1.75,,,,,,,
August,,,,,,,2.26,2.09,1.83,3.46,5.03,8.14,3.16,4.38,2.32,2.57,3.6,1.68,2.9,1.08,0.62,2.34,1.33,,,,,,,
September,,,,,,,2.4,4.57,3.77,4.75,3.98,6.33,2.76,6.7,5.19,2.7,6.16,1.45,0.74,3.12,2.18,1.52,2.57,,,,,,,
October,,,,,,,1.43,3.34,2.57,2.66,8.44,3.92,8.9,4.13,3.05,3.27,2.38,2.05,2.35,1.63,2.18,3.35,3.88,,,,,,,
November,,,,,,,3.71,3.3,1.34,3.08,2.3,7.61,5.09,4.97,1.88,2.58,6.82,1,1.42,2.76,2.36,2.4,2.97,,,,,,,
December,,,,,,,5.5,5.04,3.66,4.06,1.71,5.95,7.16,7.71,4.93,4.04,8.43,1.94,2.11,2.68,1.85,3.52,2.28,,,,,,,
Total,,,,27.42,38.81,24.41,34.97,35.14,30.54,42.53,42.8,58.07,53.03,,41.58,30.38,44.74,28.95,25.91,22,18.54,26.07,32,,,,,,,
