HAWNBY RECTORY,,,,,,,,,,,,,
Grid ref,SE542897,Long,-1.169,Lat,54.300,Elevation,497,ft,,,,,
Station no,RR4559,,,,,,,,,,,,
,,,,,,,,,,,,,
,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926
January,,4.76,0.64,4.86,3.13,4.50,3.95,3.64,4.19,2.75,2.17,2.64,3.71
February,,5.00,4.70,1.48,2.64,1.50,1.20,0.24,3.91,6.39,2.54,5.18,1.92
March,,1.98,4.23,3.55,1.65,3.86,3.58,1.60,3.11,2.21,3.28,1.52,0.16
April,,1.29,1.99,2.95,1.66,2.58,4.25,1.54,2.15,2.45,2.59,3.63,0.81
May,,1.49,3.15,1.08,3.13,0.96,2.93,2.07,0.84,3.48,6.33,4.15,2.68
June,,0.37,3.25,2.57,1.24,1.70,1.61,0.37,2.98,0.82,2.82,0.19,5.92
July,,6.68,2.85,1.84,3.80,3.12,6.82,1.60,5.58,3.39,3.61,1.74,2.80
August,,3.97,2.20,8.76,2.50,3.49,3.39,5.08,2.96,4.69,4.38,3.17,2.89
September,,1.21,2.37,1.42,6.88,1.51,1.37,1.50,3.22,3.33,3.54,3.88,1.96
October,2.63,1.12,4.70,4.10,2.00,6.43,2.35,2.04,1.28,4.09,5.05,4.24,3.03
November,4.35,2.59,3.72,2.90,2.05,3.94,1.47,2.17,1.84,4.92,2.33,2.22,5.85
December,6.61,6.89,2.55,2.70,4.25,5.00,4.97,2.76,5.19,3.73,5.29,5.41,1.57
Total,,37.35,36.35,38.21,34.93,38.59,37.89,24.61,37.25,42.25,43.93,37.97,33.30
,,,,,,,,,,,,,
TYRain_1910-1919_21_pt1/030,,,,,,,,,,,,,
TYRain_1920-1930_24_pt1/012,,,,,,,,,,,,,
