AIRDRIE (FORRESTBURN RESERVOIR),,,,,,,,,,,,,,,,,,,,
Grid ref,NS874649,Long,-3.800738,Lat,55.864083,Elevation,705,ft,,,,,,,,,,,,
Station no,5162/1,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960
January,,,3.11,5.55,2.52,4.02,3.08,6.43,4.41,2.78,3.8,4.14,2.29,4.37,2.42,2.27,5.49,3.72,1.61,4.17
February,,,4.53,1.47,5.18,2.25,0.87,3.08,4.41,4.18,2.25,1.6,1.82,2.85,1.51,1.81,3.12,2.91,2.14,4.46
March,,,2.9,0.58,2.81,2.83,2.71,1.68,2,4.11,3.93,2.14,0.94,2.09,1.05,2.96,3,2.11,1.85,1.79
April,,,2.46,2.88,1.99,1.24,2.91,2.17,4.04,3.9,3.17,2.07,2.54,2.15,1.82,0.71,1.53,1.73,2.94,2.94
May,,,4.22,3.27,4.55,1.36,2.64,1.37,1.92,2.22,2.13,1.44,2.52,4.14,3.63,2.23,2.44,3.81,1.72,2.36
June,,,4.81,3.86,3.28,2.95,2.7,4.55,1.12,3.36,2.83,3.67,2.12,3.71,2.56,3.6,2.84,3.64,2.98,1.96
July,,,2.59,2.84,3.65,3.36,2.01,2.09,2.7,5.31,3.95,3.25,6.52,3.7,1.3,4.94,4.85,7.04,5.66,2.56
August,,,5.37,4.87,2.59,3.35,0.04,4.09,4.23,4.24,5.13,5.12,3.52,6.95,1.37,5.13,5.19,3.95,1.25,2.88
September,,,2.73,3.89,5.86,6.41,3.3,2.42,2.54,9.17,2.96,2.92,3.55,6.19,3.55,4.77,2.46,4.9,1.22,2.04
October,,6.61,6.11,4.58,4.39,0.43,1.6,2.77,5.28,3.7,1.18,3.35,2.48,9.85,3.01,3.36,3.69,2.76,4.3,3.51
November,,0.97,2.17,6.79,0.59,4.05,5.61,3.01,4.6,3.51,5.9,2.67,7.39,5.68,1.88,1.22,2.42,2.09,6.74,4.57
December,,3.43,2.11,3.12,2.97,2.57,2.76,4.61,8.68,1.93,6.44,4.48,4.73,5.96,6.89,5.71,4.61,6.22,5.04,4.54
Total,,,43.11,43.7,40.38,34.82,30.23,38.27,45.93,48.41,43.67,36.85,40.42,57.64,30.99,38.71,41.64,44.88,37.45,37.78
,,,,,,,,,,,,,,,,,,,,
1942 -100 Deleted,,,,,,,,,,,,,,,,,,,,
No of Minor gauge moves,,,,,,,,,,,,,,,,,,,,
and changes imposs to ,,,,,,,,,,,,,,,,,,,,
track,,,,,,,,,,,,,,,,,,,,
