"AIRDRIE, FORRESTBURN RESERVOIR",,,,,,,,,,,,
Grid ref,NS872650,Long,-3.803974,Lat,55.864934,,,,,,,
Station no,,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,,,,,3.40,2.50,4.50,3.10,3.60,5.00,,
February,,,,,2.70,2.30,2.60,2.50,2.10,2.50,,
March,,,,,2.00,4.40,2.30,3.90,4.40,4.10,,
April,,,,,4.70,2.60,1.20,1.50,1.70,3.20,,
May,,,,,3.60,1.20,5.50,4.20,3.10,2.60,,
June,,,,,1.30,0.90,1.50,4.50,2.10,2.80,,
July,,,,,2.00,3.00,2.60,3.10,3.60,3.70,,
August,,,,,3.90,4.00,6.00,5.20,3.20,3.30,,
September,,,,,2.80,3.00,1.80,1.50,5.20,2.40,,
October,,,,,1.70,2.20,7.40,8.60,1.40,5.70,,
November,,,,,2.00,3.10,4.50,2.00,2.70,2.30,,
December,,,,,4.80,3.50,2.20,5.30,1.50,5.10,,
Total,,,,,34.90,32.70,42.10,45.40,34.60,42.70,,
Calc annual,0.00,0.00,0.00,0.00,34.90,32.70,42.10,45.40,34.60,42.70,,
Difference,NaN,NaN,NaN,NaN,0.00,0.00,0.00,0.00,0.00,0.00,,
