DERBY-ROYAL-INFIRMARY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,SK357355,Long,-1.4705327,Lat,52.915742,Elevation,175,ft.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Station no,2660,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960
January,,,,,,,,,1.28,2.8,4.11,1.69,1.04,2.07,2.17,1.04,3.52,1.21,1.16,1.21,2.09,0.75,3.91,3.76,1.49,2.8,1.63,2.68,2.25,3.51,3.39,2.58,4.04,1.65,2.03,2.02,2.8,2.31,5.3,1.33,3.92,2.11,2.11,1.95,2.78,1.02,3.45,3.1,3.72,5.73,,3.03,3.01,4.62,3.45,1.88,2.62,,5.03,1.12,0.9,2.63,,1.24,1.21,2.3,,1.79,2.75,2.94,
February,,,,,,,,,1.61,1.35,3.77,1.37,1.66,1.26,3.01,0.83,2.99,2.08,1.35,0.61,1.96,1.54,1.51,0.89,1.44,2.55,4.22,0.96,2.22,1.36,2.15,0.33,3.13,4.05,0.53,2.8,2.89,1.77,2.8,0.37,0.97,3.2,0.61,3.5,0.49,2.25,1.81,4.06,0.89,1.42,,2.47,1.18,0.84,1.99,2.75,3.69,,1.44,0.73,4.63,3.01,,1.89,1.76,1.7,,1.97,4.47,0.24,
March,,,,,,,,,1.31,1.15,0.6,2.25,1.61,3.51,1.69,2.93,1.83,1.46,2.41,3.09,0.48,1.34,2.43,3.6,2.11,0.98,3.54,1.53,1.37,5.61,1.91,1.46,1.66,1.16,0.86,0.95,1.42,2.65,1.91,0.24,3.15,0.18,1.77,2.57,1.86,0.87,2,2.56,0.39,1.68,2.15,3.06,2.09,1.29,0.26,0.92,0.87,,0.82,1.59,0.89,4.74,,1.53,1.25,2.2,,1.29,1.73,1.54,
April,,,,,,,,,2.09,2.66,1.23,1.8,2.36,1.89,1.96,1.64,0.64,1.66,2.35,1.47,1.66,1.33,0.23,3.08,0.75,0.87,1.78,1.16,1.62,1.16,4.07,1.25,2.61,1.96,2.35,1.86,1.73,2.41,1.32,1.06,3.2,4.25,3.02,1.39,2.27,3.18,1.81,2.34,0.15,1.78,2.03,1.92,1.21,1.09,2.27,2.12,1.28,2.11,1.96,2.65,2.44,2.04,,2.73,0.34,1.39,1.76,0.29,0.79,2.3,
May,,,,,,,,,2.42,3.04,1.65,1.03,2.86,3.08,1.98,0.46,1.52,3.73,2.27,1.82,2.34,0.64,2.5,1.8,1.73,1.56,1.97,2.58,2.95,1.52,2.35,1.94,1,3.1,3.89,5.82,3.23,1.78,1.01,2.32,3.27,2.99,6.93,1.89,0.91,0.45,0.49,2.37,1.98,1.07,1.46,2.64,3.81,3.06,1.4,2.58,1.43,1.99,1.39,2.2,1.53,3.05,,2.29,2.34,3.21,0.58,0.68,2.32,0.4,
June,,,,,,,,,1.59,3.05,4.12,1.97,2.64,1.29,0.59,2.28,2.08,3.34,1.54,2.17,1.44,2.19,5.02,1.08,1.8,1.31,1.49,2.91,0.7,0.92,3.05,0.29,1.23,0.7,2.2,0,2.04,4.52,2.87,1.39,1.89,3.87,0.98,2.27,0.82,3.34,3.9,1.22,1.65,0.93,0.92,0.93,0.26,2.3,2.05,3.01,3.13,1.42,2.92,0.45,1.42,1.95,,3.2,3.23,4.39,2.91,1.16,4.75,0.75,
July,,,,,,,,,1.15,2.42,4.15,3.49,1.54,2.26,2.08,0.93,0.62,2.75,2.51,3.07,2.54,0.06,3.12,0.82,3.63,6.03,2.1,1.22,2.62,2.51,4.19,0.4,3.69,4.07,2.78,2.24,2.23,3.04,1.54,2.09,6.27,3.94,4.18,1.8,1.02,0.49,4.35,2.9,4.9,4.88,2.67,4.62,2.32,1.49,3.07,2.63,1.7,3.2,1.34,3.73,1.82,0.93,,3.31,2.47,0.51,2.68,2.85,4.06,1.51,
August,,,,,,,,,2.25,0.97,5.05,2,3.19,4.88,2.77,3.24,1.03,3.24,4.02,2.38,3.21,1.5,5.75,2.07,1.62,1.83,2.05,4.89,1.92,2.22,0.82,5.14,5.48,2.71,2.62,3.84,2.03,3.37,3.32,2.31,2.65,6.27,1.92,0.88,2.5,2.04,1.13,0.37,1.82,2.4,0.41,5.33,2.81,3.16,2.57,3.32,4.25,0.4,4.98,1.91,3.35,5.13,,2.19,4.7,0.39,4.42,3.11,2.06,1.16,
September,,,,,,,,,0.42,2.67,1.04,0.98,1.7,2.8,1.85,1.37,0.94,0.72,1.54,2.34,0.56,1.39,0.97,1.46,1.03,0.85,1.09,1.68,5.87,1.72,1.88,1.32,1.9,2.57,2.82,3.52,0.85,4.93,1.19,0.61,3.93,2.55,2.4,1.96,2.05,4.42,3.55,2.12,3.09,1.06,0.87,0.47,1.16,2.48,4.22,2.74,3.8,1.75,2.14,2.11,3.72,1.61,,1.64,3.43,1.02,2.7,6.57,2.46,0.07,
October,,,,,,,,,2.56,3.01,3,1.81,2.75,5.59,0.67,1.53,5.32,3.65,1.07,3.26,2.13,1.77,2.86,2.67,1.93,1.68,2.54,3.84,1.54,2.49,1.83,2.59,0.74,2.49,4.19,3.57,2.44,2.51,4.28,3.59,3.47,0.74,3.37,4.72,1.87,3.84,1.92,2.1,2.76,3.57,4.39,3.3,2.63,2.03,3.07,3.87,1.54,0.31,2.16,3.92,1.06,0.81,,2.23,3.91,1.82,1.39,1.58,2.62,2.1,
